question,options,gold_answer,predicted_option,is_correct,target_name,evidence_ctx_idx,evidence_span,evidence_source_name,evidence_source_summary,ctx_names
الهام فلاح در چه رشته‌ای فعالیت دارد؟,"[""فوتبال"", ""کاراته"", ""تیراندازی"", ""والیبال""]",والیبال,والیبال,1,الهام فلاح,1,الهام فلاح، ورزشکار والیبال، در تاریخ 25 فروردین 1373 (31 سال) شیراز در تیم ملی بزرگسالان ایران متولد شده است,الهام فلاح,الهام فلاح، ورزشکار والیبال، در تاریخ 25 فروردین 1373 (31 سال) شیراز در تیم ملی بزرگسالان ایران متولد شده است، قد ایشان 1، 75 m (5 ft 9 اینچ) است و وزن ایشان 60 کیلوگرم (130 پوند) است.,"[""الهام فلاح"", ""مازیار فلاحی"", ""الهام امین‌زاده""]"
ناصر حجازی در کدام تیم ها بازی کرده است؟,"[""استقلال و منچستر یونایتد"", ""سپاهان و رئال مادرید"", ""پاس و بارسلونا"", ""بانک تجارت و بایرن مونیخ""]",استقلال و منچستر یونایتد,استقلال و منچستر یونایتد,1,ناصر حجازی,1,در تیم‌های نادر تهران، تاج، شهباز، استقلال، محمدان و منچستر یونایتد بازی کرده است.,ناصر حجازی,ناصر حجازی، ورزشکار فوتبال، در تاریخ 23 آذر 1328 در بازی‌های آسیایی 1974 متولد شده است، در تاریخ 2 خرداد 1390 درگذشته است، قد ایشان 1، 85 متر (6 فوت 1 اینچ) [نیازمند منبع] است، در تیم‌های نادر تهران، تاج، شهباز، استقلال، محمدان و منچستر یونایتد بازی کرده است.,"[""ناصر حجازی"", ""آتیلا حجازی"", ""احمد نوراللهی""]"
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,"[""پرسپولیس و سپاهان"", ""سایپا و استقلال"", ""ذوب‌آهن و تراکتور"", ""پیکان و نساجی""]",سایپا و استقلال,سایپا و استقلال,1,امیرعلی صادقی,,او با شماره 99 برای استقلال بازی می‌کند و افتخاراتی نظیر قهرمانی لیگ برتر (01 - 1400) را دارد. [1],,,"[""امیرعلی صادقی"", ""اکبر صادقی "", ""محمدباقر صادقی""]"
مهتاب رحمانی ورزشکار کدام رشته است؟,"[""کاراته"", ""کشتی"", ""شنا"", ""والیبال""]",والیبال,والیبال,1,مهتاب رحمانی,1,مهتاب رحمانی، ورزشکار والیبال، در تاریخ 3 شهریور 1371 (32 سال) کرمانشاه در تیم ملی بزرگسالان ایران متولد شده است،,مهتاب رحمانی,مهتاب رحمانی، ورزشکار والیبال، در تاریخ 3 شهریور 1371 (32 سال) کرمانشاه در تیم ملی بزرگسالان ایران متولد شده است، قد ایشان 1، 82 m (5 ft 111 ⁄ 2 in) است و وزن ایشان 67 کیلوگرم (148 پوند) است.,"[""مهتاب رحمانی"", ""بختیار رحمانی"", ""رحمان رضایی ""]"
بهتاش فریبا در چه شهری متولد شده است؟,"[""تبریز"", ""تهران"", ""اصفهان"", ""مشهد""]",تهران,تهران,1,بهتاش فریبا,1,بهتاش فریبا، ورزشکار فوتبال، در تاریخ 22 بهمن 1334 (69 سال) در تهران، ایران متولد شده است.,بهتاش فریبا,بهتاش فریبا، ورزشکار فوتبال، در تاریخ 22 بهمن 1334 (69 سال) در تهران، ایران متولد شده است.,"[""بهتاش فریبا"", ""فریبا صادقی"", ""سعید بشیرتاش""]"
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,"[""دوچرخه‌سواری"", ""فوتبال"", ""کشتی"", ""والیبال""]",دوچرخه‌سواری,دوچرخه‌سواری,1,صمد پورسیدی,1,صمد پورسیدی، ورزشکار دوچرخه‌سواری، در تاریخ 23 مهر 1364 (سن: در 39 سال) متولد شده است.,صمد پورسیدی,صمد پورسیدی، ورزشکار دوچرخه‌سواری، در تاریخ 23 مهر 1364 (سن: در 39 سال) متولد شده است.,"[""صمد پورسیدی"", ""آزاده صمدی"", ""سعید پورصمیمی""]"
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,"[""سیستان و بلوچستان ایران"", ""منامه بحرین"", ""بغداد عراق"", ""محرق بحرین""]",منامه بحرین,مناحه بحرین,0,عبدالواحد خنجی,1,عبدالواحد خنجی، ورزشکار دوچرخه‌سواری، در تاریخ 17 بهمن 1307 در منامه متولد شده است، در تاریخ 18 دی 1376 درگذشته است.,عبدالواحد خنجی,عبدالواحد خنجی، ورزشکار دوچرخه‌سواری، در تاریخ 17 بهمن 1307 در منامه متولد شده است، در تاریخ 18 دی 1376 درگذشته است.,"[""عبدالواحد خنجی"", ""عبدالمجید ریگی"", ""سید محمدعلی انگجی""]"
بیژن طاهری بازیکن کدام رشته است؟,"[""کشتی"", ""فوتبال"", ""والیبال"", ""تکواندو""]",فوتبال,فوتبال,1,بیژن طاهری,1,بیژن طاهری، ورزشکار فوتبال، در تاریخ 1 فروردین 1340 (سن:64 سال) در تهران، ایران متولد شده است.,بیژن طاهری,بیژن طاهری، ورزشکار فوتبال، در تاریخ 1 فروردین 1340 (سن:64 سال) در تهران، ایران متولد شده است.,"[""بیژن طاهری"", ""بیژن حیدری"", ""امین طاهری""]"
علی مرادی در چه رشته‌ای ورزشکار است؟,"[""وزنه‌برداری"", ""کشتی"", ""والیبال"", ""بسکتبال""]",وزنه‌برداری,,0,علی مرادی,,نمی‌دانم,,,"[""امیر مرادی"", ""علی مرادی "", ""مراد محمدی""]"
رضا علی‌پور ورزشکار کدام رشته است؟,"[""قایقرانی"", ""کاراته"", ""کشتی"", ""سنگ‌نوردی""]",سنگ‌نوردی,سنگ‌نوردی,1,رضا علی‌پور,1,رضا علی‌پور، ورزشکار سنگ‌نورد، در تاریخ 9 اردیبهشت 1373 (در 31 سال) متولد شده است.,رضا علی‌پور,رضا علی‌پور، ورزشکار سنگ‌نورد، در تاریخ 9 اردیبهشت 1373 (در 31 سال) متولد شده است.,"[""رضا علی‌پور"", ""علی علیپور"", ""حمیدرضا قلی‌پور""]"
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,"[""طلا"", ""نقره"", ""برنز"", ""هیچکدام""]",نقره,نقره,1,وحید گل‌خندان,1,مدال نقره جام جهانی ریودوژانیرو 2022,وحید گل‌خندان,وحید گل‌خندان، ورزشکار تیراندازی، در تاریخ 3 تیر 1362 در 24 ژوئن 1983 (متولد شده است، افتخارات مدال برنز جام جهانی دهلی‌نو 2017، مدال نقره جام جهانی ریودوژانیرو 2022، مدال برنز جام جهانی کرواسی 2021 و مدال برنز بازی‌های همبستگی اسلامی باکو 2017 را کسب کرده است.,"[""وحید گل‌خندان"", ""جواد فروغی"", ""سجاد مردانی""]"
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,"[""رزمی"", ""کشتی"", ""فوتبال"", ""والیبال""]",رزمی,رزمی,1,وحید سرلک,1,وحید سرلک، ورزشکار رزمی، در تاریخ 30 دی 1359 در ایران متولد شده است.,وحید سرلک,وحید سرلک، ورزشکار رزمی، در تاریخ 30 دی 1359 در ایران متولد شده است.,"[""وحید سرلک"", ""میلاد سرلک"", ""وحید دستگردی""]"
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,"[""فولاد و نفت مسجدسلیمان"", ""استقلال و پرسپولیس"", ""سپاهان و تراکتور"", ""ذوب‌آهن و ملوان""]",فولاد و نفت مسجدسلیمان,فولاد و نفت مسجدسلیمان,1,یوسف وکیا,1,در تیم‌های فولاد، نفت مسجدسلیمان، گل‌گهر، پدیده، خیبر خرم‌آباد، فجر سپاسی، صنعت نفت آبادان و بعثت کرمانشاه بازی کرده است.,یوسف وکیا,یوسف وکیا، ورزشکار فوتبال، در تاریخ 8 مهر 1372 (31 سال) در فولاد متولد شده است، قد ایشان 1، 85 متر (6 فوت 1 اینچ) است، در تیم‌های فولاد، نفت مسجدسلیمان، گل‌گهر، پدیده، خیبر خرم‌آباد، فجر سپاسی، صنعت نفت آبادان و بعثت کرمانشاه بازی کرده است.,"[""یوسف وکیا"", ""محرم نویدکیا"", ""اکبر میثاقیان""]"
هاروتیون آبراهامیان اهل کدام کشور است؟,"[""ایران"", ""ارمنستان"", ""ترکیه"", ""گرجستان""]",ارمنستان,ارمنستان,1,هاروتیون آبراهامیان,1,هاروتیون آبراهامیان، ورزشکار فوتبال، در تاریخ 4 دسامبر 1969 (55 سال) در ایروان، ارمنستان متولد شده است,هاروتیون آبراهامیان,هاروتیون آبراهامیان، ورزشکار فوتبال، در تاریخ 4 دسامبر 1969 (55 سال) در ایروان، ارمنستان متولد شده است، قد ایشان 1، 82 متر (5 فوت 111 ⁄ 2 اینچ) است، در تیم‌های آرارات ایروان، کشاورز تهران، ایروان، میکا، آراکس و کوتایک بازی کرده است.,"[""هاروتیون آبراهامیان"", ""یِرواند آبراهامیان"", ""وارازدات هارویان""]"
جمشید نصیری در کدام شهر ایران متولد شده است؟,"[""تهران"", ""مشهد"", ""خرمشهر"", ""اصفهان""]",خرمشهر,خرمشهر,1,جمشید نصیری,1,جمشید نصیری، ورزشکار فوتبال، در تاریخ 23 فوریه 1959 (66 سال) در بندر خرمشهر، ایران متولد شده است، در تیم‌های Rastakhiz Khorramshahr، East Bengal، Mohammedan SC و East Bengal بازی کرده است.,جمشید نصیری,جمشید نصیری، ورزشکار فوتبال، در تاریخ 23 فوریه 1959 (66 سال) در بندر خرمشهر، ایران متولد شده است، در تیم‌های Rastakhiz Khorramshahr، East Bengal، Mohammedan SC و East Bengal بازی کرده است.,"[""جمشید نصیری"", ""جمشید انصاری"", ""ابراهیم نصیری""]"
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,"[""کشتی"", ""فوتبال"", ""والیبال"", ""کاراته""]",فوتبال,فوتبال,1,رضا افتخاری,1,رضا افتخاری، ورزشکار فوتبال.,رضا افتخاری,رضا افتخاری، ورزشکار فوتبال.,"[""رضا افتخاری"", ""سید علی افتخاری"", ""رضا قاسمی ""]"
پوریا امینی در چه استانی متولد شده است؟,"[""گیلانغرب"", ""تهران"", ""مشهد"", ""رشت""]",گیلانغرب,گیلانغرب,1,پوریا امینی,1,پوریا امینی، ورزشکار فوتبال، در تاریخ 8 اسفند 1373 (30 سال) در گیلانغرب، ایران متولد شده است، قد ایشان 181 سانتی‌متر است.,پوریا امینی,پوریا امینی، ورزشکار فوتبال، در تاریخ 8 اسفند 1373 (30 سال) در گیلانغرب، ایران متولد شده است، قد ایشان 181 سانتی‌متر است.,"[""پوریا امینی"", ""فاطمه امینی "", ""شیوا امینی""]"
حسن حبیبی در کدام شهر متولد شده است؟,"[""شیراز"", ""کرمان"", ""تبریز"", ""اصفهان""]",کرمان,خالی,0,حسن ابراهیم حبیبی,,نمی‌دانم,,,"[""حسن حبیبی "", ""حسن ابراهیم حبیبی"", ""حسن بیادی""]"
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,"[""پاسور"", ""دریافت‌کننده قدرتی"", ""لیبرو"", ""آبشارزننده سرعتی""]",دریافت‌کننده قدرتی,دریافت‌کننده قدرتی,1,زینب گیوه,,زینب گیوه... در پست دریافت‌کننده قدرتی فعالیت می‌کند. [1],,,"[""زینب گیوه"", ""زینب ملکی"", ""پری فردی""]"
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,"[""پدیده و فجر سپاسی"", ""سپاهان و تراکتور"", ""استقلال و پرسپولیس"", ""ذوب‌آهن و نفت تهران""]",پدیده و فجر سپاسی,پدیده و فجر سپاسی,1,حسین مهربان,1,حسین مهربان، ورزشکار فوتبال، در تاریخ 12 مه 1996 در مشهد، ایران متولد شده است، در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,حسین مهربان,حسین مهربان، ورزشکار فوتبال، در تاریخ 12 مه 1996 در مشهد، ایران متولد شده است، در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,"[""حسین مهربان"", ""حسین کریمی"", ""حسین صادقی ""]"
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,"[""طلا"", ""نقره"", ""برنز"", ""هیچکدام""]",نقره,نقره,1,علی پاکدامن,1,مدال نقره جام جهانی گرجستان 2024 را کسب کرده است.,علی پاکدامن,علی پاکدامن، ورزشکار رزمی، در تاریخ 1 شهریور 1369 (34 سال) در گرجستان 2024 متولد شده است، افتخارات مدال نقره قهرمانی آسیا شانگهای 2013، مدال نقره قهرمانی آسیا کالنگ 2015، مدال نقره قهرمانی آسیا ووشی 2016، مدال نقره قهرمانی آسیا هنگ‌کنگ 2017، مدال برنز قهرمانی آسیا ماکایاما 2012، مدال برنز قهرمانی آسیا سوون 2014، مدال برنز قهرمانی آسیا سوون 2014، مدال برنز قهرمانی آسیا هنگ‌کنگ 2017، مدال طلا قهرمانی آسیا چین 2023، مدال نقره قهرمانی آسیا کویت 2024، مدال نقره بازی‌های آسیایی اینچئون 2014، مدال نقره بازی‌های آسیایی جاکارتا 2018، مدال برنز بازی‌های آسیایی جاکارتا 2018 و مدال نقره جام جهانی گرجستان 2024 را کسب کرده است.,"[""علی پاکدامن"", ""فاطمه جهانی"", ""مهدی عابدینی""]"
الهام حسینی در چه رشته‌ای فعالیت دارد؟,"[""وزنه‌برداری"", ""کاراته"", ""فوتبال"", ""والیبال""]",وزنه‌برداری,وزنه‌برداری,1,الهام حسینی,1,الهام حسینی، ورزشکار وزنه‌برداری، در تاریخ 16 سپتامبر 1988 (در 36 سال) متولد شده است، وزن ایشان 87 کیلوگرم (192 پوند) است.,الهام حسینی,الهام حسینی، ورزشکار وزنه‌برداری، در تاریخ 16 سپتامبر 1988 (در 36 سال) متولد شده است، وزن ایشان 87 کیلوگرم (192 پوند) است.,"[""الهام حسینی"", ""الهام امین‌زاده"", ""الهامی کرمانشاهی""]"
رضا مؤمنی در کدام شهر متولد شده است؟,"[""تهران"", ""قائمشهر"", ""مشهد"", ""اصفهان""]",قائمشهر,قائمشهر,1,رضا مؤمنی,1,رضا مومنی، ورزشکار کشتی، در تاریخ قائمشهر در، متولد شده است.,رضا مؤمنی,رضا مومنی، ورزشکار کشتی، در تاریخ قائمشهر در، متولد شده است.,"[""رضا مؤمنی"", ""رضا رحمانی"", ""رضا رمضانی گیلانی""]"
رضا نوروزی در چه شهری متولد شده است؟,"[""ایذه"", ""اهواز"", ""تهران"", ""اصفهان""]",ایذه,ایذه,1,رضا نوروزی,1,رضا نوروزی، ورزشکار فوتبال، در تاریخ 30 شهریور 1361 (42 سال) در ایذه، ایران متولد شده است، قد ایشان 1، 89 است.,رضا نوروزی,رضا نوروزی، ورزشکار فوتبال، در تاریخ 30 شهریور 1361 (42 سال) در ایذه، ایران متولد شده است، قد ایشان 1، 89 است.,"[""رضا نوروزی"", ""حسن نوروزی"", ""جواد نوروزی""]"
مجید ترکان ورزشکار کدام رشته است؟,"[""فوتبال"", ""والیبال"", ""بسکتبال"", ""کشتی""]",کشتی,کشتی,1,مجید ترکان,1,مجید ترکان، ورزشکار کشتی، در تاریخ 21 آذر 1344 (در 60 سال) متولد شده است,مجید ترکان,مجید ترکان، ورزشکار کشتی، در تاریخ 21 آذر 1344 (در 60 سال) متولد شده است، قد ایشان 1، 64 m (5 ft 5 اینچ) است، افتخارات مدال طلا قهرمانی جهان توکیو 1990، مدال نقره قهرمانی جهان بوداپست 1985، مدال برنز قهرمانی جهان مارتینی 1989، مدال طلا بازی‌های آسیایی سئول 1986، مدال طلا قهرمانی آسیا 1983 تهران، مدال طلا قهرمانی آسیا 1989 توکیو، مدال طلا قهرمانی آسیا 1991 دهلی و مدال نقره قهرمانی آسیا 1992 تهران را کسب کرده است.,"[""مجید ترکان"", ""اکبر ترکان"", ""اکبر ترکان""]"
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,"[""دینامو زاگرب"", ""بایرن مونیخ"", ""کوپنهاگن"", ""ستاره سرخ بلگراد""]",ستاره سرخ بلگراد,ستاره سرخ بلگراد,1,ایوان مارکوویچ,,مارکوویچ فعالیت خود را از سال 2003 با ستاره‌سرخ بلگراد آغاز کرد [1],,,"[""ایوان مارکوویچ"", ""باشگاه فوتبال زنان ذوب‌آهن"", ""نادر زینلی""]"
گلنوش خسروی در کدام شهر به متولد شده است؟,"[""ارومیه"", ""تهران"", ""اصفهان"", ""مشهد""]",اصفهان,اصفهان,1,گلنوش خسروی,1,گلنوش خسروی، ورزشکار فوتبال، در تاریخ 12 می‌ 200122 اردیبهشت 1380 (24 سال) در اصفهان، ایران متولد شده است,گلنوش خسروی,گلنوش خسروی، ورزشکار فوتبال، در تاریخ 12 می‌ 200122 اردیبهشت 1380 (24 سال) در اصفهان، ایران متولد شده است، قد ایشان 171 سانتی‌متر است، در تیم‌های ذوب‌آهن اصفهان و کوناک بلدی اسپور ترکیه بازی کرده است.,"[""گلنوش خسروی"", ""گلنوش سبقت‌الهی"", ""خسرو گلسرخی""]"
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,"[""تکواندو"", ""والیبال"", ""فوتبال"", ""کشتی""]",والیبال,والیبال,1,فرنوش شیخی,1,فرنوش شیخی، ورزشکار والیبال، در تاریخ 23 اردیبهشت 1369,فرنوش شیخی,فرنوش شیخی، ورزشکار والیبال، در تاریخ 23 اردیبهشت 136913 مه 1990 (34 سال) در ایران متولد شده است، قد ایشان 1، 81 m (5 ft 111 ⁄ 2 in) است و وزن ایشان 68 کیلوگرم (150 پوند) است.,"[""فرنوش شیخی"", ""الهام شیخی "", ""فرشاد هاشمی""]"
سارا شیربیگی ورزشکار کدام رشته است؟,"[""فوتسال"", ""فوتبال"", ""کشتی"", ""والیبال""]",فوتسال,فوتسال,1,سارا شیربیگی,1,سارا شیربیگی، ورزشکار فوتسال، در تاریخ 15 مرداد 1370 در فوتسال زنان ایران متولد شده است، در تیم‌های سپیدرود رشت و نصرفردیس بازی کرده است.,سارا شیربیگی,سارا شیربیگی، ورزشکار فوتسال، در تاریخ 15 مرداد 1370 در فوتسال زنان ایران متولد شده است، در تیم‌های سپیدرود رشت و نصرفردیس بازی کرده است.,"[""سارا شیربیگی"", ""سارا ظهرابی"", ""سارا عبدالملکی""]"
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,"[""پارالمپیک پاریس ۲۰۲۴"", ""المپیک ریو ۲۰۱۶"", ""بازی‌های آسیایی ۲۰۱۸"", ""المپیک توکیو ۲۰۲۰""]",پارالمپیک پاریس ۲۰۲۴,پارالمپیک پاریس ۲۰۲۴,1,هاجر صفرزاده,1,مدال نقره بازی‌های پارالمپیک پاریس 2024,هاجر صفرزاده,هاجر صفرزاده، ورزشکار فوتبال، در تاریخ 24 اسفند 1378 (25 سال) در [متولد شده است، افتخارات مدال نقره بازی‌های پارالمپیک پاریس 2024 و مدال طلا بازی‌های پاراآسیایی هانگژو 2022 را کسب کرده است.,"[""هاجر صفرزاده"", ""امین میرزازاده"", ""سعید صفری""]"
مهدی تیکدری سالاری در کدام رشته فعال است؟,"[""فوتبال"", ""کشتی"", ""والیبال"", ""رزمی""]",فوتبال,فوتبال,1,مهدی تیکدری سالاری,1,مهدی تیکدری، ورزشکار فوتبال، در تاریخ 23 تیر 1375 (28 سال) در کرمان، ایران متولد شده است,مهدی تیکدری,مهدی تیکدری، ورزشکار فوتبال، در تاریخ 23 تیر 1375 (28 سال) در کرمان، ایران متولد شده است، قد ایشان 1، 84 متر (6 فوت 1 ⁄ 2 اینچ) است، در تیم‌های مس کرمان، تراکتور و گل‌گهر بازی کرده است.,"[""مهدی تیکدری"", ""محمد سالاری"", ""مهدی گلشنی""]"
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,"[""پرسپولیس و الریان"", ""سپاهان و استقلال"", ""ذوب‌آهن و ملوان"", ""فجر سپاسی و سایپا""]",پرسپولیس و الریان,پرسپولیس و الریان,1,شجاع خلیل‌زاده,,شجاع خلیل‌زاده... در تیم‌های مس رفسنجان، مس کرمان، سپاهان، ←تراکتور (قرضی)، پرسپولیس، الریان، الاهلی قطر و تراکتور بازی کرده است.,,,"[""شجاع خلیل‌زاده"", ""مسعود شجاعی"", ""محمدرضا خلعتبری""]"
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,"[""رزمی"", ""کشتی"", ""والیبال"", ""فوتبال""]",رزمی,رزمی,1,مهدی خدابخشی,1,مهدی خدابخشی، ورزشکار رزمی، در تاریخ 10 اردیبهشت 1374 در اسلام‌آباد غرب متولد شده است,مهدی خدابخشی,مهدی خدابخشی، ورزشکار رزمی، در تاریخ 10 اردیبهشت 1374 در اسلام‌آباد غرب متولد شده است، قد ایشان 191 c m است و وزن ایشان 84 کیلوگرم است، افتخارات مدال طلا قهرمانی جهان مادرید 2018، مدال طلا قهرمانی جهان لینز 2016، مدال نقره قهرمانی جهان بوداپست 2023، مدال نقره قهرمانی جهان ژاپن 2018، مدال برنز قهرمانی جهان اندونزی 2015، مدال طلا کاراته قهرمانی آسیا قزاقستان 2017، مدال طلا کاراته قهرمانی آسیا اردن 2018، مدال طلا کاراته قهرمانی آسیا تاشکند 2019، مدال طلا کاراته قهرمانی آسیا تاشکند 2022، مدال طلا کاراته قهرمانی آسیا ملاکا 2023، مدال نقره کاراته قهرمانی آسیا آلماتی 2021، مدال برنز کاراته قهرمانی آسیا آستانا 2017، مدال برنز کاراته قهرمانی آسیا اردن 2018، مدال طلا لیگ جهانی کوجالی 2022 سری A، مدال طلا لیگ جهانی استانبول 2018، مدال طلا لیگ جهانی سالزبورگ 2019 سری A، مدال نقره لیگ جهانی پاریس 2023، مدال برنز لیگ جهانی دبی 2020، مدال برنز لیگ جهانی شانگهای 2019 و مدال برنز لیگ جهانی استانبول 2019 سری A را کسب کرده است.,"[""مهدی خدابخشی"", ""محمد امین طباطبایی"", ""مهدی یراحی""]"
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,"[""بایرن مونیخ و هرتابرلین"", ""رئال مادرید و بارسلونا"", ""آژاکس و پی‌اس‌وی"", ""یوونتوس و میلان""]",بایرن مونیخ و هرتابرلین,بایرن مونیخ و هرتابرلین,1,علی دایی,,در تیم‌های ... بایرن‌مونیخ، هرتابرلین ... بازی کرده است.,,,"[""علی دایی"", ""علی دانایی‌فرد"", ""علی دشتی ""]"
