question,category,gold_answer,target_name,answer_text,evidence_span,ctx_names,judge_match
هاروتیون آبراهامیان اهل کدام کشور است؟,athlete,ارمنستان,هاروتیون آبراهامیان,ارمنستان,هاروتیون آبراهامیان، ورزشکار فوتبال، در تاریخ 4 دسامبر 1969 (55 سال) در ایروان، ارمنستان متولد شده است,"['هاروتیون آبراهامیان', 'یِرواند آبراهامیان', 'وارازدات هارویان']",1
جمشید نصیری در کدام شهر ایران متولد شده است؟,athlete,خرمشهر,جمشید نصیری,بندر خرمشهر,جمشید نصیری، ورزشکار فوتبال، در تاریخ 23 فوریه 1959 (66 سال) در بندر خرمشهر، ایران متولد شده است,"['جمشید نصیری', 'جمشید انصاری', 'ابراهیم نصیری']",1
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,athlete,فوتبال,رضا افتخاری,فوتبال,رضا افتخاری، ورزشکار فوتبال.,"['رضا افتخاری', 'سید علی افتخاری', 'رضا قاسمی ']",1
پوریا امینی در چه استانی متولد شده است؟,athlete,گیلانغرب,پوریا امینی,گیلانغرب,پوریا امینی، ورزشکار فوتبال، در تاریخ 8 اسفند 1373 (30 سال) در گیلانغرب، ایران متولد شده است,"['پوریا امینی', 'فاطمه امینی ', 'شیوا امینی']",1
حسن حبیبی در کدام شهر متولد شده است؟,athlete,کرمان,حسن حبیبی,کرمان,حسن حبیبی، ورزشکار فوتبال، در تاریخ 18 بهمن 1318 (85 سال) در کرمان، ایران متولد شده است.,"['حسن حبیبی ', 'حسن ابراهیم حبیبی', 'حسن بیادی']",1
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,athlete,دریافت‌کننده قدرتی,زینب گیوه,دریافت‌کننده قدرتی,زینب گیوه... در پست دریافت‌کننده قدرتی فعالیت می‌کند.,"['زینب گیوه', 'زینب ملکی', 'پری فردی']",1
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,athlete,پدیده و فجر سپاسی,حسین مهربان,حسین مهربان در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,حسین مهربان، ورزشکار فوتبال، در تاریخ 12 مه 1996 در مشهد، ایران متولد شده است، در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,"['حسین مهربان', 'حسین کریمی', 'حسین صادقی ']",1
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,athlete,نقره,علی پاکدامن,مدال نقره,مدال نقره جام جهانی گرجستان 2024 را کسب کرده است.,"['علی پاکدامن', 'فاطمه جهانی', 'مهدی عابدینی']",1
الهام حسینی در چه رشته‌ای فعالیت دارد؟,athlete,وزنه‌برداری,الهام حسینی,ورزشکار وزنه‌برداری,الهام حسینی، ورزشکار وزنه‌برداری، در تاریخ 16 سپتامبر 1988 (در 36 سال) متولد شده است، وزن ایشان 87 کیلوگرم (192 پوند) است.,"['الهام حسینی', 'الهام امین\u200cزاده', 'الهامی کرمانشاهی']",1
رضا مؤمنی در کدام شهر متولد شده است؟,athlete,قائمشهر,رضا مؤمنی,قائمشهر,رضا مومنی، ورزشکار کشتی، در تاریخ قائمشهر در، متولد شده است.,"['رضا مؤمنی', 'رضا رحمانی', 'رضا رمضانی گیلانی']",1
رضا نوروزی در چه شهری متولد شده است؟,athlete,ایذه,رضا نوروزی,ایذه,رضا نوروزی، ورزشکار فوتبال، در تاریخ 30 شهریور 1361 (42 سال) در ایذه، ایران متولد شده است,"['رضا نوروزی', 'حسن نوروزی', 'جواد نوروزی']",1
مجید ترکان ورزشکار کدام رشته است؟,athlete,کشتی,مجید ترکان,کشتی,مجید ترکان، ورزشکار کشتی، در تاریخ 21 آذر 1344 (در 60 سال) متولد شده است,"['مجید ترکان', 'اکبر ترکان', 'اکبر ترکان']",1
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,athlete,ستاره سرخ بلگراد,ایوان مارکوویچ,او فعالیت خود را از سال 2003 با ستاره‌سرخ بلگراد آغاز کرد.,مارکوویچ فعالیت خود را از سال 2003 با ستاره‌سرخ بلگراد آغاز کرد,"['ایوان مارکوویچ', 'باشگاه فوتبال زنان ذوب\u200cآهن', 'نادر زینلی']",1
گلنوش خسروی در کدام شهر به متولد شده است؟,athlete,اصفهان,گلنوش خسروی,گلنوش خسروی در اصفهان متولد شده است.,گلنوش خسروی، ورزشکار فوتبال، در تاریخ 12 می‌ 200122 اردیبهشت 1380 (24 سال) در اصفهان، ایران متولد شده است.,"['گلنوش خسروی', 'گلنوش سبقت\u200cالهی', 'خسرو گلسرخی']",1
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,athlete,والیبال,فرنوش شیخی,والیبال,فرنوش شیخی، ورزشکار والیبال,"['فرنوش شیخی', 'الهام شیخی ', 'فرشاد هاشمی']",1
سارا شیربیگی ورزشکار کدام رشته است؟,athlete,فوتسال,سارا شیربیگی,فوتسال,سارا شیربیگی، ورزشکار فوتسال، در تاریخ 15 مرداد 1370 در فوتسال زنان ایران متولد شده است,"['سارا شیربیگی', 'سارا ظهرابی', 'سارا عبدالملکی']",1
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,athlete,پارالمپیک پاریس ۲۰۲۴,هاجر صفرزاده,مدال نقره بازی‌های پارالمپیک پاریس 2024 و مدال طلا بازی‌های پاراآسیایی هانگژو 2022,هاجر صفرزاده، ورزشکار فوتبال، در تاریخ 24 اسفند 1378 (25 سال) در متولد شده است، افتخارات مدال نقره بازی‌های پارالمپیک پاریس 2024 و مدال طلا بازی‌های پاراآسیایی هانگژو 2022 را کسب کرده است.,"['هاجر صفرزاده', 'امین میرزازاده', 'سعید صفری']",0
مهدی تیکدری سالاری در کدام رشته فعال است؟,athlete,فوتبال,مهدی تیکدری سالاری,فوتبال,مهدی تیکدری، ورزشکار فوتبال,"['مهدی تیکدری', 'محمد سالاری', 'مهدی گلشنی']",1
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,athlete,پرسپولیس و الریان,شجاع خلیل‌زاده,شجاع خلیل‌زاده در تیم‌های مس رفسنجان، مس کرمان، سپاهان، تراکتور (قرضی)، پرسپولیس، الریان، الاهلی قطر و تراکتور بازی کرده است.,در تیم‌های مس رفسنجان، مس کرمان، سپاهان، ←تراکتور (قرضی)، پرسپولیس، الریان، الاهلی قطر و تراکتور بازی کرده است.,"['شجاع خلیل\u200cزاده', 'مسعود شجاعی', 'محمدرضا خلعتبری']",1
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,athlete,رزمی,مهدی خدابخشی,ورزشکار رزمی,مهدی خدابخشی، ورزشکار رزمی، در تاریخ 10 اردیبهشت 1374 در اسلام‌آباد غرب متولد شده است,"['مهدی خدابخشی', 'محمد امین طباطبایی', 'مهدی یراحی']",1
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,athlete,بایرن مونیخ و هرتابرلین,علی دایی,علی دایی در تیم‌های آرمینیا بیله‌فلد، بایرن‌مونیخ و هرتابرلین بازی کرده است.,در تیم‌های استقلال اردبیل، تاکسیرانی، بانک تجارت، پرسپولیس، السد، آرمینیا بیله‌فلد، بایرن‌مونیخ، هرتابرلین، الشباب، پرسپولیس، صباباتری و سایپا بازی کرده است.,"['علی دایی', 'علی دانایی\u200cفرد', 'علی دشتی ']",1
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,athlete,کشتی,عباس زندی,عباس زندی در رشته ورزشی کشتی آزاد مدال‌های متعددی کسب کرده است.,عباس زندی، متولد 1310 در سنگلج، تهران، ایران، ورزشکار کشتی آزاد و پهلوانی، مربی و نظامی ایرانی بود که در 8 آبان 1396 در سن 87 سالگی در تهران درگذشت.,"['عباس زندی', 'فریدون زندی', 'علی زند ']",1
عزت‌الله اکبری در چه سالی متولد شده است؟,athlete,۱۳۷۱,عزت‌الله اکبری,1371,عزت‌الله اکبری، متولد 20 آبان 1371 در جویبار، مازندران، ایران,"['عزت\u200cالله اکبری', 'سعید عزت\u200cاللهی', 'عزت\u200cالله مطهری']",1
قد میربابک موسوی، ورزشکار والیبال چند است؟,athlete,۱٫۹۴,میربابک موسوی,قد ایشان 1، 94 m (6 ft 41 ⁄ 2 in) است.,میربابک موسوی، ورزشکار والیبال، در تاریخ 8 آوریل 1997 (28 سال) تبریز، ایران متولد شده است، قد ایشان 1، 94 m (6 ft 41 ⁄ 2 in) است و وزن ایشان 90 کیلوگرم (200 پوند) است.,"['میربابک موسوی', 'محمد موسوی', 'مجتبی میرزاجانپور']",1
کریم انصاری‌فرد در کدام کشور متولد شده است؟,athlete,ایران,کریم انصاری‌فرد,ایران,کریم انصاری‌فرد، ورزشکار فوتبال، در تاریخ 14 فروردین 1369 (35 سال) در اردبیل، ایران متولد شده است,"['کریم انصاری\u200cفرد', 'مجید انصاری', 'محمدحسن انصاری\u200cفرد']",1
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,art_music,مریلا زارعی,,نمی‌دانم,,"['زهرا داوودنژاد', 'میترا حجار', 'ژاله علو']",0
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,art_music,رضا عطاران,رضا عطاران,برای کارگردانی فیلم خوابم می‌آید سیمرغ بلورین دریافت کرده است.,او برای کارگردانی «خوابم می‌آد» در سال 1390 سیمرغ بلورین بهترین کارگردان را دریافت کرد.,"['رضا عطاران', 'کیکاووس یاکیده', 'آهو خردمند']",0
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,art_music,بهرام رادان,بهرام رادان,بهرام رادان برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را از بیست و پنجمین جشنواره فیلم فجر دریافت کرد.,رادان در فیلم‌هایی مانند «سنتوری» در سال 1385 ... برای بازی در «سنتوری» جایزه بهترین بازیگر مرد را از بیست و پنجمین جشنواره فیلم فجر دریافت کرد.,"['بهرام رادان', 'سیامک انصاری', 'آرش مجیدی']",1
محسن تنابنده در چه سالی متولد شده است؟,art_music,1354,محسن تنابنده,1354,محسن تنابنده، متولد 26 فروردین 1354 در تهران,"['محسن تنابنده', 'محسن یگانه', 'محسن مسلمان']",1
روزبه بمانی در چه حیطه ای فعالیت میکند؟,art_music,خوانندگی,روزبه بمانی,شاعر، ترانه‌سرا، خواننده و بازیگر ایرانی,روزبه بمانی، متولد 7 قوس 1358 در تهران، شاعر، ترانه‌سرا، خواننده و بازیگر ایرانی است که از دهه 1370 فعالیت دارد.,"['روزبه بمانی', 'روزبه بمانی', 'خسرو روزبه']",1
سهراب سپهری در کجا متولد شده است؟,poets,قم,سهراب سپهری,سهراب سپهری در کاشان متولد شده است.,سهراب سپهری، متولد 15 میزان 1307 در کاشان,"['سهراب سپهری', 'سهراب سپهری', 'محمد سهرابی']",0
کدام شاعر معروف به نیمای غزل است؟,poets,سیمین بهبهانی,سیمین بهبهانی,سیمین بهبهانی معروف به نیمای غزل است.,سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد.,"['نیما یوشیج', 'سیمین بهبهانی', 'سنایی']",1
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,poets,مسجد جامع سامان,فرخی یزدی,نمی‌دانم,,"['فرخی یزدی', 'محمد فرخی یزدی', 'جیحون یزدی']",0
آثار فروغ فرخزاد کدام است؟,poets,تولدی دیگر,فروغ فرخزاد,آثار او شامل 'تولدی دیگر' و 'ایمان بیاوریم' است.,او تولدی دیگر و ایمان بیاوریم را سرود.,"['فروغ فرخزاد', 'فریدون فرّخزاد', 'فریدون فرخزاد']",0
اولین زن ایرانی در فضا چه کسی است؟,scientists,انوشه انصاری,انوشه انصاری,اولین زن ایرانی در فضا انوشه انصاری است.,انوشه انصاری، متولد 21 مهر 1345 در مشهد، مهندس، کارآفرین و اولین زن ایرانی در فضا است. او در 27 شهریور 1385 به ایستگاه فضایی بین‌المللی سفر کرد.,"['انوشه انصاری', 'اسفند فَرُّخ\u200cروی پارسا', 'مریم میرزاخانی']",1
مفتاح الفتاح از چه کسی منتشر شده است؟,scientists,شیخ بهایی,مفتاح الفتاح,نمی‌دانم,,"['سید ابراهیم نبوی', 'احسان فتاحیان', 'وحید قزوینی']",0
پدر فیزیک ایران چه کسی است؟,scientists,محمود حسابی,محمود حسابی,محمود حسابی، معروف به پدر فیزیک ایران، در 3 اسفند 1281 شمسی در تهران متولد شد و در 12 شهریور 1371 در ژنو درگذشت.,محمود حسابی، معروف به پدر فیزیک ایران، در 3 اسفند 1281 شمسی در تهران متولد شد و در 12 شهریور 1371 در ژنو درگذشت.,"['محمود حسابی', 'اکبر اعتماد', 'محسن فخری\u200cزاده مهابادی']",1
اولین زن برنده ی مدال فیلدر چه کسی است؟,scientists,مریم میرزاخانی,مریم میرزاخانی,اولین زن برنده مدال فیلدز,او در سال 1393 اولین زن برنده مدال فیلدز شد.,"['مریم میرزاخانی', 'وحید گل\u200cخندان', 'ساره جوانمردی']",1
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,art_music,1360,جمشید هاشم‌پور,دهه 1360,جمشید هاشم‌پور، متولد 3 فروردین 1323 در تهران، بازیگر ایرانی است که از دهه 1360 فعالیت خود را آغاز کرده است.,"['جمشید هاشم\u200cپور', 'جمشید جمشیدیان', 'جمشید آموزگار']",1
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,art_music,سحر دولتشاهی,سحر دولتشاهی,سحر دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد.,دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر برای «چهارراه استانبول» و «عرق سرد» شد.,"['شبنم مقدمی', 'سحر دولتشاهی', 'هنگامه قاضیانی']",1
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,art_music,مهناز افشار,مهناز افشار,نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد»,افشار در سال 1390 نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» شد.,"['مهناز افشار', 'شبنم مقدمی', 'پریناز ایزدیار']",0
دایره المعارف شیطان اثر کیست؟,poets,ابراهیم نبوی,دایره المعارف شیطان,نمی‌دانم,,"['زرتشت', 'سید حسین نصر', 'داریوش شایگان']",0
ایرج میرزرا به چه نامی معروف بود؟,poets,جلال الممالک,ایرج میرزا,جلال‌الممالک یا فخرالشعرا,ایرج میرزا، معروف به جلال‌الممالک یا فخرالشعرا,"['ایرج میرزا', 'ایرج فاضل', 'ایرج اسکندری']",0
کدام شاعر به پدر شعر انقلاب معروف است؟,poets,حمید سبزواری,حمید سبزواری,حمید سبزواری، معروف به شاعر انقلاب و پدر شعر انقلاب است.,حمید سبزواری، معروف به شاعر انقلاب و پدر شعر انقلاب، در سال 1304 در سبزوار، استان خراسان رضوی، متولد شد.,"['حمید سبزواری', 'نیما یوشیج', 'عبدالعلی ادیب برومند']",1
پدر ادبیات تاجیک کیست؟,poets,رودکی,پدر ادبیات تاجیک,نمی‌دانم,,"['امان\u200cالله تاجیک', 'سعدی', 'احمد کریمی حکاک']",0
کارگردان مغزهای کوچک زنگ زده کیست؟,art_music,هومن سیدی,هومن سیدی,کارگردان فیلم مغزهای کوچک زنگ زده هومن سیدی است.,سیدی برای کارگردانی «مغزهای کوچک زنگ‌زده» جوایز متعددی دریافت کرده است.,"['هومن سیدی', 'شهرام شاه\u200cحسینی', 'کیکاووس یاکیده']",1
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,art_music,داریوش ارجمند,داریوش ارجمند,برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد.,ارجمند برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد.,"['داریوش ارجمند', 'رضا عطاران', 'نوید محمدزاده']",0
مهران مدیری متولد چه سالی است؟,art_music,1346,مهران مدیری,1346,مهران مدیری، متولد 29 فروردین 1346 در تهران,"['مهران مدیری', 'مهران قاسمی', 'مهران امیری']",1
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,art_music,درباه الی و زخم کاری,رعنا آزادیور,رعنا آزادیور در فیلم‌هایی مانند «مارمولک» در سال 1382، «درباره الی» در سال 1387، «محمد رسول‌الله» در سال 1394، و «چهارراه استانبول» در سال 1396 بازی کرده است.,او در فیلم‌هایی مانند «مارمولک» در سال 1382، «درباره الی» در سال 1387، «محمد رسول‌الله» در سال 1394، و «چهارراه استانبول» در سال 1396 نقش‌آفرینی کرده است.,"['رعنا آزادی\u200cور', 'زهرا داوودنژاد', 'افسانه چهره\u200cآزاد']",0
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,art_music,شهره آغداشلو,شهره آغداشلو,شهره آغداشلو برنده جایزه امی برای «خانه صدام» (1387) شده است.,آغداشلو در مجموعه‌های تلویزیونی مانند «24» (1384)، «خانه صدام» (1387) و «گستره» (1394) نقش‌آفرینی کرده و در بازی‌های ویدئویی چون «تاثیر فراگیر 3» (1391) و «آرا: تاریخ ناگفته» (1402) حضور داشته است. او برنده جایزه امی برای «خانه صدام» (1387) و نامزد جایزه اسکار برای «خانه‌ای از شن و مه» (1382) شده است.,"['شهره آغداشلو', 'لاله اسکندری', 'پانته\u200cآ پناهی\u200cها']",1
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,art_music,لیلا حاتمی,لیلا حاتمی,لیلا حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است.,حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرد.,"['لیلا حاتمی', 'هنگامه قاضیانی', 'شبنم مقدمی']",1
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,art_music,فاطمه معتمدآریا,فاطمه معتمدآریا,فاطمه معتمدآریا برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است.,معتمدآریا برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.,"['فاطمه معتمدآریا', 'نگار جواهریان', 'طناز طباطبایی']",1
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,art_music,بیست و ملاقات با جادوگر,علیرضا خمسه,علیرضا خمسه در فیلم‌هایی چون «مرگ یزدگرد» (1360)، «آپارتمان شماره 13» (1369)، «بیست» (1387) و مجموعه «پایتخت» (1389) بازی کرده است.,او در فیلم‌هایی چون «مرگ یزدگرد» (1360)، «آپارتمان شماره 13» (1369)، «بیست» (1387) و مجموعه «پایتخت» (1389) بازی کرد و برنده سیمرغ بلورین شد.,"['علیرضا خمسه', 'امیرحسین رستمی', 'اکبر قدمی']",0
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,art_music,1380,مهرداد صدیقیان,دهه 1380,مهرداد صدیقیان، متولد 30 بهمن 1367 در تهران، بازیگر ایرانی است که از دهه 1380 فعالیت خود را آغاز کرده است.,"['مهرداد صدیقیان', 'مهرداد آسمانی', 'مهرداد بذرپاش']",1
