question,image_url,top1_name,top2_name,top3_name,identified_name,chosen_top,hit_at,pred_answer,evidence,raw_identify_text,raw_answer_text
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده,ایمان شوریابی,سینا خادم‌پور,فرشاد احمدزاده,top1,1,فرشاد احمدزاده ارومیه,فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ 1 مهر 1371 (32 سال) در ارومیه، ایران متولد شده است,فرشاد احمدزاده,"{
  ""predicted_option"": ""فرشاد احمدزاده ارومیه"",
  ""evidence"": ""فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ 1 مهر 1371 (32 سال) در ارومیه، ایران متولد شده است""
}"
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان,علیرضا منصوریان,سجاد انوشیروانی,علیرضا منصوریان,top1,1,علیرضا منصوریان بالستیر گیلانگ,در تیم‌های پارس‌خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.,علیرضا منصوریان,"{
  ""predicted_option"": ""علیرضا منصوریان بالستیر گیلانگ"",
  ""evidence"": ""در تیم‌های پارس‌خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.""
}"
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امامعلی حبیبی,محمدقلی بیگ طرشتی تهرانی,محمد بلبلی,هیچ کدام,none,0,,,هیچ کدام,
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری,آریا داوری,علی والی,آریا داوری,top1,1,آریا داوری کشتی,آریا داوری، ورزشکار کشتی، در تاریخ 11 آوریل 1989 در پلیموث، مینه‌سوتا متولد شده است.,آریا داوری,"{
  ""predicted_option"": ""آریا داوری کشتی"",
  ""evidence"": ""آریا داوری، ورزشکار کشتی، در تاریخ 11 آوریل 1989 در پلیموث، مینه‌سوتا متولد شده است.""
}"
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور,علی کریمی,سعید شیرود قربانی,علی علیپور,top1,1,علی علیپور 29 سال,علی علیپور، ورزشکار فوتبال، در تاریخ 20 آبان 1374 (29 سال) در قائم‌شهر، ایران متولد شده است,علی علیپور,"{
  ""predicted_option"": ""علی علیپور 29 سال"",
  ""evidence"": ""علی علیپور، ورزشکار فوتبال، در تاریخ 20 آبان 1374 (29 سال) در قائم‌شهر، ایران متولد شده است""
}"
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی رحیمی کازرونی,علی شفیعی,حسن رحیمی,علی شفیعی,top2,2,علی شفیعی,این تصویر متعلق به علی شفیعی است.,علی شفیعی,"{
  ""predicted_option"": ""علی شفیعی"",
  ""evidence"": ""این تصویر متعلق به علی شفیعی است.""
}"
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح,شیوا مقانلو,الهام شیخی,هیچ کدام,none,0,,,هیچ کدام,
کدام گزینه درباره ی این فرد صحیح است؟,https://tse1.mm.bing.net/th/id/OIP.El10jtpn4kDl1xtsd8MSFQHaHI?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی انصاریان,محمدحسن انصاری‌فرد,کریم انصاری‌فرد,علی انصاریان,top1,1,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,علی انصاریان، متولد 14 تیر 1356 در تهران، بازیکن فوتبال، بازیگر و مجری بود.,علی انصاریان,"{
  ""predicted_option"": ""این فرد علی انصاریان است و در تیم استقلال بازی کرده است."",
  ""evidence"": ""علی انصاریان، متولد 14 تیر 1356 در تهران، بازیکن فوتبال، بازیگر و مجری بود.""
}"
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse2.mm.bing.net/th/id/OIP.uTkBFD_F0Uj8GWPZLaAyegHaER?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سردار آزمون,سردار آزمون,احسان علوان‌زاده,سردار آزمون,top1,1,سردار آزمون گنبد کاووس,سردار آزمون، ورزشکار فوتبال، در تاریخ 11 دی 1373 (30 سال) در گنبد کاووس، ایران متولد شده است,سردار آزمون,"{
  ""predicted_option"": ""سردار آزمون گنبد کاووس"",
  ""evidence"": ""سردار آزمون، ورزشکار فوتبال، در تاریخ 11 دی 1373 (30 سال) در گنبد کاووس، ایران متولد شده است""
}"
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان,رامین رضاییان,کاوه رضایی,کاوه رضایی,top3,3,رامین رضاییان فوتبال,کاوه رضایی، ورزشکار فوتبال، در تاریخ 16 فروردین 1371 (33 سال) در اسلام‌آباد غرب، ایران متولد شده است,کاوه رضایی,"{
  ""predicted_option"": ""رامین رضاییان فوتبال"",
  ""evidence"": ""کاوه رضایی، ورزشکار فوتبال، در تاریخ 16 فروردین 1371 (33 سال) در اسلام‌آباد غرب، ایران متولد شده است""
}"
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,عاقل حبیبیان,قربان بردیف,رحمان احمدی,top1,1,رحمان احمدی,این تصویر متعلق به رحمان احمدی است. این بیوگرافی برای اوست: رحمان احمدی، ورزشکار فوتبال، در تاریخ 8 مرداد 1359 (44 سال) در نوشهر، ایران متولد شده است، قد ایشان 1، 84 متر (6 فوت 1 ⁄ 2 اینچ) است.,رحمان احمدی,"{
  ""predicted_option"": ""رحمان احمدی"",
  ""evidence"": ""این تصویر متعلق به رحمان احمدی است. این بیوگرافی برای اوست: رحمان احمدی، ورزشکار فوتبال، در تاریخ 8 مرداد 1359 (44 سال) در نوشهر، ایران متولد شده است، قد ایشان 1، 84 متر (6 فوت 1 ⁄ 2 اینچ) است.""
}"
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,لاله اسکندری,گوهر خیراندیش,هیچ کدام,none,0,,,هیچ کدام,
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سجاد انوشیروانی,سیامک انصاری,مهران مدیری,مهران مدیری,top3,3,مهران مدیری سال خوش,مهران مدیری، متولد 29 فروردین 1346 در تهران، کارگردان، بازیگر، خواننده و مجری تلویزیونی از دهه 1370 تاکنون است.,مهران مدیری,"{
  ""predicted_option"": ""مهران مدیری سال خوش"",
  ""evidence"": ""مهران مدیری، متولد 29 فروردین 1346 در تهران، کارگردان، بازیگر، خواننده و مجری تلویزیونی از دهه 1370 تاکنون است.""
}"
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,شهره آغداشلو,هنگامه قاضیانی,هوتن شکیبا,شهره آغداشلو,top1,1,بازیگر جایزه امی,آغداشلو در بازی‌های ویدئویی چون «تاثیر فراگیر 3» (1391) و «آرا: تاریخ ناگفته» (1402) حضور داشته است. او برنده جایزه امی برای «خانه صدام» (1387) و نامزد جایزه اسکار برای «خانه‌ای از شن و مه» (1382) شده است.,شهره آغداشلو,"{
  ""predicted_option"": ""بازیگر جایزه امی"",
  ""evidence"": ""آغداشلو در بازی‌های ویدئویی چون «تاثیر فراگیر 3» (1391) و «آرا: تاریخ ناگفته» (1402) حضور داشته است. او برنده جایزه امی برای «خانه صدام» (1387) و نامزد جایزه اسکار برای «خانه‌ای از شن و مه» (1382) شده است.""
}"
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,سیمین بهبهانی,هنگامه قاضیانی,شهره آغداشلو,سیمین بهبهانی,top1,1,ادبیات نامزد جایزه نوبل ادبیات,سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد. او به عنوان شاعر، نویسنده، معلم و غزل‌سرا فعالیت می‌کرد و ... بین سال‌های 1999 تا 2002 نامزد جایزه نوبل ادبیات بود.,سیمین بهبهانی,"{
  ""predicted_option"": ""ادبیات نامزد جایزه نوبل ادبیات"",
  ""evidence"": ""سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد. او به عنوان شاعر، نویسنده، معلم و غزل‌سرا فعالیت می‌کرد و ... بین سال‌های 1999 تا 2002 نامزد جایزه نوبل ادبیات بود.""
}"
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست,مهناز افشار,الهام حمیدی,الناز شاکردوست,top1,1,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.,الناز شاکردوست,"{
  ""predicted_option"": ""الناز شاکردوست شبی که ماه کامل شد"",
  ""evidence"": ""الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.""
}"
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,الهام حمیدی,الناز شاکردوست,لاله اسکندری,top1,1,,لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «متولد ماه مهر» (1378)، «شراره» (1378)، «این زن حرف نمی‌زند» (1381) و ... نقش‌آفرینی کرده است.,لاله اسکندری,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها دقیقا"",
  ""evidence"": ""لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «متولد ماه مهر» (1378)، «شراره» (1378)، «این زن حرف نمی‌زند» (1381) و ... نقش‌آفرینی کرده است.""
}"
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی,مازیار فلاحی,فرزاد فرزین,مازیار فلاحی,top1,1,مازیار فلاحی خواننده,مازیار فلاحی، متولد 26 مهر 1353 در تهران، خواننده، آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.,مازیار فلاحی,"{
  ""predicted_option"": ""مازیار فلاحی خواننده"",
  ""evidence"": ""مازیار فلاحی، متولد 26 مهر 1353 در تهران، خواننده، آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.""
}"
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,سید مصطفی هاشمی‌طبا,بهرام رادان,علی دایی,هیچ کدام,none,0,,,هیچ کدام,
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,ژاله صامتی,لاله اسکندری,پریناز ایزدیار,ژاله صامتی,top1,1,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,ژاله صامتی,"{
  ""predicted_option"": ""او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت"",
  ""evidence"": ""او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.""
}"
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,پریناز ایزدیار,شبنم مقدمی,لاله اسکندری,پریناز ایزدیار,top1,1,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.,پریناز ایزدیار,"{
  ""predicted_option"": ""در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد"",
  ""evidence"": ""ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.""
}"
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امید روحانی,سید ابراهیم نبوی,محمدرضا فروتن,امید روحانی,top1,1,,امید روحانی، متولد 6 سرطان 1340 در تهران، بازیگر و پزشک ایرانی است که از دهه 1370 فعالیت هنری خود را آغاز کرده است.,امید روحانی,"{
  ""predicted_option"": ""هیچ‌کدام از گزینه‌ها"",
  ""evidence"": ""امید روحانی، متولد 6 سرطان 1340 در تهران، بازیگر و پزشک ایرانی است که از دهه 1370 فعالیت هنری خود را آغاز کرده است.""
}"
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,محسن یگانه,رضا یزدانی,لاله اسکندری,محسن یگانه,top1,1,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.,محسن یگانه,"{
  ""predicted_option"": ""برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد"",
  ""evidence"": ""یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.""
}"
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار,بهاره رهنما,زهرا داوودنژاد,میترا حجار,top1,1,میترا حجار بازیگر,میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,میترا حجار,"{
  ""predicted_option"": ""میترا حجار بازیگر"",
  ""evidence"": ""میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.""
}"
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرّخزاد,فریدون فرخزاد,فروغ فرخزاد,فریدون فرخزاد,top2,2,فریدون فرخزاد شاعر,فریدون فرخزاد، شاعر و مجری دوره پهلوی و جمهوری اسلامی، در سال 1315 شمسی در تهران زاده شد و در سال 1371 شمسی در بن آلمان ترور شد.,فریدون فرخزاد,"{
  ""predicted_option"": ""فریدون فرخزاد شاعر"",
  ""evidence"": ""فریدون فرخزاد، شاعر و مجری دوره پهلوی و جمهوری اسلامی، در سال 1315 شمسی در تهران زاده شد و در سال 1371 شمسی در بن آلمان ترور شد.""
}"
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار,نیلوفر لاری‌پور,لیلا اوتادی,مهناز افشار,top1,1,مهناز افشار آتش بس,مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.,مهناز افشار,"{
  ""predicted_option"": ""مهناز افشار آتش بس"",
  ""evidence"": ""مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.""
}"
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان,بهرام افشاری,علی دایی,بهرام رادان,top1,1,بهرام رادان بازیگر,بهرام رادان، متولد 8 ثور 1358 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,بهرام رادان,"{
  ""predicted_option"": ""بهرام رادان بازیگر"",
  ""evidence"": ""بهرام رادان، متولد 8 ثور 1358 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.""
}"
