question,image_url,top1_name,top2_name,top3_name,compare_top1,compare_top2,compare_top3,chosen_top,chosen_name,pred_answer,evidence,raw_answer_text,hit_at
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست,مهناز افشار,الهام حمیدی,بله,,,top1,الناز شاکردوست,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.,"{
  ""predicted_option"": ""الناز شاکردوست شبی که ماه کامل شد"",
  ""evidence"": ""الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.""
}",1
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,الهام حمیدی,الناز شاکردوست,بله,,,top1,لاله اسکندری,,لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «متولد ماه مهر» (1378)، «شراره» (1378)، «این زن حرف نمی‌زند» (1381) و ... نقش‌آفرینی کرده است.,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها دقیقا"",
  ""evidence"": ""لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «متولد ماه مهر» (1378)، «شراره» (1378)، «این زن حرف نمی‌زند» (1381) و ... نقش‌آفرینی کرده است.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی,مازیار فلاحی,فرزاد فرزین,بله,,,top1,مازیار فلاحی,مازیار فلاحی خواننده,مازیار فلاحی، متولد 26 مهر 1353 در تهران، خواننده، آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.,"{
  ""predicted_option"": ""مازیار فلاحی خواننده"",
  ""evidence"": ""مازیار فلاحی، متولد 26 مهر 1353 در تهران، خواننده، آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,سید مصطفی هاشمی‌طبا,بهرام رادان,علی دایی,بله,,,top1,سید مصطفی هاشمی‌طبا,علی دایی ورزشی,سید مصطفی هاشمی‌طبا، شخصیت ورزشی و سیاسی با مدرک مهندسی نساجی از دانشگاه صنعتی امیرکبیر است.,"{
  ""predicted_option"": ""علی دایی ورزشی"",
  ""evidence"": ""سید مصطفی هاشمی‌طبا، شخصیت ورزشی و سیاسی با مدرک مهندسی نساجی از دانشگاه صنعتی امیرکبیر است.""
}",1
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,ژاله صامتی,لاله اسکندری,پریناز ایزدیار,بله,,,top1,ژاله صامتی,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,"{
  ""predicted_option"": ""او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت"",
  ""evidence"": ""او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.""
}",1
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,پریناز ایزدیار,شبنم مقدمی,لاله اسکندری,بله,,,top1,پریناز ایزدیار,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.,"{
  ""predicted_option"": ""در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد"",
  ""evidence"": ""ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.""
}",1
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امید روحانی,سید ابراهیم نبوی,محمدرضا فروتن,بله,,,top1,امید روحانی,,امید روحانی، متولد 6 سرطان 1340 در تهران، بازیگر و پزشک ایرانی است که از دهه 1370 فعالیت هنری خود را آغاز کرده است.,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها"",
  ""evidence"": ""امید روحانی، متولد 6 سرطان 1340 در تهران، بازیگر و پزشک ایرانی است که از دهه 1370 فعالیت هنری خود را آغاز کرده است.""
}",1
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,محسن یگانه,رضا یزدانی,لاله اسکندری,بله,,,top1,محسن یگانه,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.,"{
  ""predicted_option"": ""برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد"",
  ""evidence"": ""یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار,بهاره رهنما,زهرا داوودنژاد,بله,,,top1,میترا حجار,میترا حجار بازیگر,میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,"{
  ""predicted_option"": ""میترا حجار بازیگر"",
  ""evidence"": ""میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرّخزاد,فریدون فرخزاد,فروغ فرخزاد,بله,,,top1,فریدون فرّخزاد,فریدون فرخزاد شاعر,فریدون فرخزاد، متولد 23 مهر 1315 در تهران، خواننده و شاعر بود.,"{
  ""predicted_option"": ""فریدون فرخزاد شاعر"",
  ""evidence"": ""فریدون فرخزاد، متولد 23 مهر 1315 در تهران، خواننده و شاعر بود.""
}",1
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار,نیلوفر لاری‌پور,لیلا اوتادی,بله,,,top1,مهناز افشار,مهناز افشار آتش بس,مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.,"{
  ""predicted_option"": ""مهناز افشار آتش بس"",
  ""evidence"": ""مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.""
}",1
