question,gold_answer,category,model_answer,judge,is_correct
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,athlete,عبدالواحد خنجی در شهر خنج، ایران متولد شده است.,خیر,0
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,athlete,فوتبال.,بله,1
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,athlete,علی مرادی در رشته وزنه‌برداری ورزشکار است.,بله,1
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,athlete,رضا علی‌پور ورزشکار رشته سنگ‌نوردی است.,بله,1
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,athlete,جام جهانی ریودوژانیرو ۲۰۲۲ برگزار نشده است؛ احتمالاً اطلاعات نادرست است.,خیر,0
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,athlete,وحید سرلک در رشته جودو شناخته می‌شود.,بله,1
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,athlete,یوسف وکیا بازیکن تیم‌های فولاد خوزستان و گل‌گهر سیرجان بوده است.,خیر,0
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,athlete,هاروتیون آبراهامیان اهل ارمنستان است.,بله,1
جمشید نصیری در کدام شهر ایران متولد شده است؟,خرمشهر,athlete,اطلاعات دقیقی در مورد محل تولد جمشید نصیری در دسترس نیست.,خیر,0
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,فوتبال,athlete,رضا افتخاری در رشته فوتسال و فوتبال شناخته می‌شود.,بله,1
پوریا امینی در چه استانی متولد شده است؟,گیلانغرب,athlete,اطلاعاتی در مورد محل تولد پوریا امینی در دسترس نیست.,خیر,0
حسن حبیبی در کدام شهر متولد شده است؟,کرمان,athlete,تهران.,خیر,0
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,athlete,زینب گیوه در پست دریافت‌کننده قدرتی فعالیت می‌کند.,بله,1
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,athlete,حسین مهربان بازیکن تیم‌های پدیده مشهد (شهرخودرو) و نساجی مازندران بوده است.,خیر,0
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,نقره,athlete,اطلاعاتی در این مورد موجود نیست. لطفاً منابع جدیدتر را بررسی کنید.,خیر,0
الهام حسینی در چه رشته‌ای فعالیت دارد؟,وزنه‌برداری,athlete,الهام حسینی در رشته وزنه‌برداری فعالیت دارد.,بله,1
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,athlete,اطلاعاتی درباره محل تولد رضا مؤمنی در دسترس نیست.,خیر,0
رضا نوروزی در چه شهری متولد شده است؟,ایذه,athlete,رضا نوروزی در شهر ایذه متولد شده است.,بله,1
مجید ترکان ورزشکار کدام رشته است؟,کشتی,athlete,کشتی.,بله,1
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,athlete,ایوان مارکوویچ فعالیت حرفه‌ای خود را با تیم پارتیزان بلگراد آغاز کرد.,خیر,0
گلنوش خسروی در کدام شهر به متولد شده است؟,اصفهان,athlete,اصفهان.,بله,1
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,والیبال,athlete,فرنوش شیخی در رشته والیبال فعالیت دارد.,بله,1
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,athlete,فوتسال.,بله,1
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,پارالمپیک پاریس ۲۰۲۴,athlete,اطلاعات دقیقی درباره هاجر صفرزاده و رقابت‌های او در دسترس نیست. لطفاً جزئیات بیشتری ارائه دهید.,خیر,0
مهدی تیکدری سالاری در کدام رشته فعال است؟,فوتبال,athlete,فوتبال.,بله,1
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,athlete,شجاع خلیل‌زاده در تیم‌های مس کرمان، سپاهان، تراکتور، پرسپولیس، الریان قطر و الاهلی قطر بازی کرده است.,خیر,0
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,رزمی,athlete,مهدی خدابخشی در رشته تکواندو فعالیت دارد.,بله,1
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,athlete,علی دایی در تیم‌های اروپایی آرمینیا بیله‌فلد، بایرن مونیخ و هرتابرلین بازی کرده است.,خیر,0
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کشتی,athlete,کشتی.,بله,1
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۷۱,athlete,عزت‌الله اکبری در سال ۱۳۷۱ متولد شده است.,بله,1
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,athlete,اطلاعات دقیقی درباره قد میربابک موسوی در دسترس نیست.,خیر,0
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,athlete,ایران.,بله,1
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,مریلا زارعی,art_music,"فیلم ""من و دبورا"" ساخته اصغر نصیری است و بازیگر اصلی آن نیما شاهرخ‌شاهی است.",خیر,0
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,رضا عطاران,art_music,رضا عطاران.,بله,1
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,بهرام رادان,art_music,بهرام رادان.,بله,1
محسن تنابنده در چه سالی متولد شده است؟,1354,art_music,محسن تنابنده در سال 1354 متولد شده است.,بله,1
روزبه بمانی در چه حیطه ای فعالیت میکند؟,خوانندگی,art_music,روزبه بمانی در حیطه ترانه‌سرایی و خوانندگی فعالیت می‌کند.,خیر,0
سهراب سپهری در کجا متولد شده است؟,قم,poets,کاشان.,خیر,0
کدام شاعر معروف به نیمای غزل است؟,سیمین بهبهانی,poets,حسین منزوی.,خیر,0
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,مسجد جامع سامان,poets,تاج‌الشعرا، ایرج میرزا، در ابتدا در گورستان ظهیرالدوله تهران دفن شد.,خیر,0
آثار فروغ فرخزاد کدام است؟,تولدی دیگر,poets,"آثار فروغ فرخزاد عبارت‌اند از:  
1. اسیر  
2. دیوار  
3. عصیان  
4. تولدی دیگر  
5. ایمان بیاوریم به آغاز فصل سرد",خیر,0
اولین زن ایرانی در فضا چه کسی است؟,انوشه انصاری,scientists,انوشه انصاری.,بله,1
مفتاح الفتاح از چه کسی منتشر شده است؟,شیخ بهایی,scientists,مفتاح الفتاح اثری از ملاصدرا است.,خیر,0
پدر فیزیک ایران چه کسی است؟,محمود حسابی,scientists,پدر فیزیک ایران دکتر محمود حسابی است.,بله,1
اولین زن برنده ی مدال فیلدر چه کسی است؟,مریم میرزاخانی,scientists,"اولین زن برنده مدال فیلدز ""مریم میرزاخانی"" ریاضی‌دان ایرانی بود که در سال ۲۰۱۴ این مدال را دریافت کرد.",بله,1
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,1360,art_music,جمشید هاشم‌پور فعالیت خود را در دهه ۱۳۴۰ آغاز کرد.,خیر,0
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,سحر دولتشاهی,art_music,ثریا قاسمی برای فیلم «ویلایی‌ها».,خیر,0
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,مهناز افشار,art_music,لیلا حاتمی.,خیر,0
دایره المعارف شیطان اثر کیست؟,ابراهیم نبوی,poets,دایره‌المعارف شیطان اثری از **امبرتو اکو** است.,خیر,0
ایرج میرزرا به چه نامی معروف بود؟,جلال الممالک,poets,"ایرج میرزا به ""فخرالشعرا"" معروف بود.",خیر,0
کدام شاعر به پدر شعر انقلاب معروف است؟,حمید سبزواری,poets,حمید سبزواری.,بله,1
پدر ادبیات تاجیک کیست؟,رودکی,poets,پدر ادبیات تاجیک رودکی است.,بله,1
کارگردان مغزهای کوچک زنگ زده کیست؟,هومن سیدی,art_music,هومن سیدی.,بله,1
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,داریوش ارجمند,art_music,داریوش ارجمند.,بله,1
مهران مدیری متولد چه سالی است؟,1346,art_music,مهران مدیری متولد سال ۱۳۴۶ است.,بله,1
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,درباه الی و زخم کاری,art_music,رعنا آزادیور در فیلم‌هایی مانند «درباره الی»، «خانه دختر»، «به‌دنیا آمدن»، «مرد بازنده»، «سعادت‌آباد»، «شنای پروانه» و «بی‌همه‌چیز» بازی کرده است.,خیر,0
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,شهره آغداشلو,art_music,ایراندا ورای (Igal Naor).,خیر,0
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,لیلا حاتمی,art_music,لیلا حاتمی.,بله,1
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,فاطمه معتمدآریا,art_music,فاطمه معتمدآریا.,بله,1
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,بیست و ملاقات با جادوگر,art_music,"علیرضا خمسه در فیلم‌های متعددی بازی کرده است، از جمله:  
- ""اجاره‌نشین‌ها""  
- ""بی‌پولی""  
- ""پایتخت"" (سریال)  
- ""آپارتمان شماره ۱۳""  
- ""مهمان مامان""  
- ""دو نفر و نصفی""  
- ""روز فرشته""  

برای فهرست کامل، نیاز به بررسی دقیق‌تر است.",خیر,0
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,1380,art_music,مهرداد صدیقیان از دهه ۱۳۸۰ فعالیت خود را آغاز کرده است.,خیر,0
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,زیرخاکی,art_music,ژاله صامتی برای بازی در فیلم «درخونگاه» مورد توجه مخاطبان قرار گرفت.,خیر,0
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,ترانه علیدوستی,art_music,ترانه علیدوستی.,بله,1
امیرحسین حسین آرمان متولد کجا است؟,تهران,art_music,امیرحسین آرمان متولد تهران است.,بله,1
انوشیروان ارجمند در چه سالی درگذشت؟,1393,art_music,انوشیروان ارجمند در سال ۱۳۹۳ درگذشت.,بله,1
آرامگاه صائب تبریزی در کجا قرار دارد؟,اصفهان,poets,آرامگاه صائب تبریزی در اصفهان قرار دارد.,بله,1
شعر شب عشق از کدام ترانه سرا است؟,لیلا کسری,poets,"شعر ""شب عشق"" از **اردلان سرفراز** است.",خیر,0
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,politicians,لیلی جهان‌آرا در زمینه هنر و بازیگری فعالیت داشته است.,خیر,0
سید ابراهیم رئیسی در چه سالی درگذشت؟,1403,politicians,سید ابراهیم رئیسی درگذشت نکرده است و تا تاریخ اطلاعات من (اکتبر ۲۰۲۳) زنده است.,خیر,0
حسن روحانی در کجا متولد شده است؟,سمنان,politicians,حسن روحانی در سرخه، استان سمنان متولد شده است.,بله,1
گوهر خیراندیش در چه سریالی ضور داشته است؟,میوه ممنوعه,art_music,گوهر خیراندیش در سریال‌های متعددی حضور داشته است، از جمله «میوه ممنوعه»، «اشک‌ها و لبخندها» و «دیوار به دیوار».,بله,1
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,1392,art_music,پژمان جمشیدی از سال ۱۳۹۲ با سریال «پژمان» به عنوان بازیگر فعالیت خود را آغاز کرد.,بله,1
آلبوم های امید حاجیلی کدام است؟,آلگرو,art_music,"آلبوم‌های امید حاجیلی:  
1. آلگرو  
2. دارکوب  
3. حاجیلیتو",خیر,0
بنیان‌گذار شهرستان ملکشاهی چه کسی است؟,فرامرز اسدی,politicians,بنیان‌گذار شهرستان ملکشاهی، ایل ملکشاهی است که نام این منطقه از آن گرفته شده است.,خیر,0
از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران و موسس مدرسه علوم سیاسی کیست؟,حسن پیزنیا,politicians,حسن پیرنیا (مشیرالدوله).,بله,1
معاون شهرسازی و معماری شهرداری تهران (خرداد-آبان 1397) که بود؟,پیروز حناچی,politicians,عبدالرضا گلپایگانی.,خیر,0
چهارمین مرد قدرتمند در ایران (2009 - مجله نیوزویک) کیست؟,سید محمد خاتمی,politicians,چهارمین مرد قدرتمند ایران در سال 2009 به گزارش مجله نیوزویک، صادق لاریجانی بوده است.,خیر,0
چه کسی با تشکیل گروه کودتا با همکاری صدام حسین متهم به خیانت و اعدام غیابی شد؟,تیمور بختیار,politicians,شاپور بختیار.,خیر,0
حاجعلی رزمآرا توسط چه کسی ترور شد؟,ترور توسط خلیل طهماسبی (فدائیان اسلام),politicians,حاجعلی رزم‌آرا توسط خلیل طهماسبی، عضو فدائیان اسلام، ترور شد.,بله,1
حسنعلی منصور توسط چه کسی ترور شد؟,محمد بخارایی,politicians,حسنعلی منصور توسط محمد بخارایی، عضو گروه فدائیان اسلام، ترور شد.,بله,1
بدرالدین هلالی استرآباد توسط چه کسی به قتل رسید؟,هلالی در سال 936 هجری قمری به اتهام تشیع توسط امیر عبیدالله خان ازبک و سیف‌الله نامی به قتل رسید,poets,بدرالدین هلالی استرآبادی توسط قزلباشان به قتل رسید.,خیر,0
آدمک و بهار بهار آثار کیست؟,تورج شعبانخانی,poets,سهراب سپهری.,خیر,0
چه کسی در سال 1390 برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی شد؟,اردشیر قوامزاده,scientists,اطلاعات دقیقی در این مورد در دسترس نیست. پیشنهاد می‌شود منابع معتبر علمی بررسی شوند.,خیر,0
چه کسی با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را در برابر حکیمان هند اثبات کرد؟,بزرگمهر,scientists,بزرگمهر.,بله,1
چه کسی  تقویم جلالی را طراحی کرد و سلطان سنجر را از آبله درمان نمود؟,عمر خیام,scientists,عمر خیام تقویم جلالی را طراحی کرد، اما درمان سلطان سنجر از آبله به او نسبت داده نشده و اطلاعات دقیقی در این مورد وجود ندارد.,خیر,0
چه کسی دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد؟,مهدی گلشنی در سال 1376 دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد,scientists,دانشکده فلسفه علم دانشگاه صنعتی شریف توسط دکتر مهدی گلشنی تأسیس شد.,بله,1
چه کسی به ابن‌سینا دانش پزشکی آموخت؟,ابومنصور حسن بن نوح کمرهای بخاری در بغداد به ابن‌سینا دانش پزشکی آموخت,scientists,ابن‌سینا دانش پزشکی را عمدتاً با مطالعه آثار پزشکان پیشین، به‌ویژه بقراط و جالینوس، و از طریق تجربه و مشاهده شخصی آموخت. استاد مشخصی در پزشکی برای او ذکر نشده است.,خیر,0
چه کسی برای بازی در «نفس» جایزه بهترین بازیگر زن را از جشنواره‌های بین‌المللی دریافت کرد؟,پانتهآ پناهیها,art_music,ساره نورموسوی.,خیر,0
کدام بازیگر در خیزش 1401 ایران با برداشتن حجاب از زنان ایرانی حمایت کرد؟,مریم پالیزبان,art_music,کتایون ریاحی.,خیر,0
چه کسی فیلمنامه ی شب های برره را نوشته است؟,بهاره رهنما,art_music,فیلمنامه‌ی «شب‌های برره» توسط پیمان قاسم‌خانی نوشته شده است.,خیر,0
چه کسی برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز» شد؟,نوید محمدزاده,art_music,نوید محمدزاده.,بله,1
چه کسانی فرهاد اصلانی را متهم به آزار جنسی کرده اند؟,سمیه میرشمسی و آوازه شهناز او را متهم به آزار جنسی کردند,art_music,فرهاد اصلانی توسط چند بازیگر زن، از جمله شبنم قربانی و فرانک حسینی، به آزار جنسی متهم شده است.,خیر,0
باران کوثری چه جوایزی گرفته است؟,او جوایزی از جمله بهترین بازیگر زن جشنواره تئاتر فجر (1379) دریافت کرده است,art_music,باران کوثری جوایز متعددی از جمله سیمرغ بلورین جشنواره فیلم فجر برای بازی در فیلم‌های «خون‌بازی» و «کوچه بی‌نام» دریافت کرده است. همچنین جوایز دیگری از جشنواره‌های داخلی و خارجی کسب کرده است.,خیر,0
یکی از برجسته‌ترین بازیگران سینمای ایران در دهه‌های 1340 و 1350  چه کسی است؟,بهروز وثوقی,art_music,بهروز وثوقی.,بله,1
