question,image_url,predicted_option,rationale,gold_answer,is_correct,category
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,فرشاد احمدزاده یکی از بازیکنان فوتبال ایرانی است که در ارومیه متولد شده است.,فرشاد احمدزاده ارومیه,1,athlete
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان پارس شتاتآیزن,علیرضا منصوریان یکی از بازیکنان و مربیان معروف فوتبال ایران است و در تیم‌های مختلفی بازی کرده است.,علیرضا منصوریان بالستیر گیلانگ,0,athlete
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,تهران,بسیاری از استادان بزرگ شطرنج ایران در تهران متولد شده‌اند.,تهران,1,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری کشتی,با توجه به ظاهر و لباس فرد، به نظر می‌رسد که او یک ورزشکار کشتی است.,آریا داوری کشتی,1,athlete
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور 29 سال,علی علیپور یک بازیکن فوتبال ایرانی است که در سال‌های اخیر در تیم‌های مختلف بازی کرده و سن او به احتمال زیاد 29 سال است.,علی علیپور 29 سال,1,athlete
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حجت صدقی,با توجه به لباس ورزشی و نمادهای موجود، به نظر می‌رسد فردی از ورزشکاران ایرانی باشد.,علی شفیعی,0,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح والیبال,با توجه به اطلاعات عمومی، الهام فلاح به عنوان یک ورزشکار والیبال شناخته شده است.,الهام فلاح والیبال,1,athlete
کدام گزینه درباره ی این فرد صحیح است؟,https://tse1.mm.bing.net/th/id/OIP.El10jtpn4kDl1xtsd8MSFQHaHI?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,علی انصاریان یکی از بازیکنان معروف فوتبال ایران است که در تیم استقلال بازی کرده است.,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,1,athlete
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse2.mm.bing.net/th/id/OIP.uTkBFD_F0Uj8GWPZLaAyegHaER?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سردار آزمون گنبد کاووس,سردار آزمون یک بازیکن فوتبال معروف ایرانی است که در گنبد کاووس متولد شده است.,سردار آزمون گنبد کاووس,1,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان فوتبال,رامین رضاییان یک بازیکن فوتبال ایرانی است.,رامین رضاییان فوتبال,1,athlete
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,رحمان احمدی یکی از دروازه‌بانان معروف فوتبال ایران است و به نظر می‌رسد تصویر مربوط به یک دروازه‌بان باشد.,رحمان احمدی,1,athlete
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رعنا آزادیور زخم کاری,رعنا آزادیور در فیلم زخم کاری ایفای نقش کرده است.,رعنا آزادیور زخم کاری,1,art_music
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,پرویز پرستویی دیار عاشقان,پرویز پرستویی یکی از بازیگران معروف سینما و تلویزیون ایران است و در فیلم 'دیار عاشقان' ایفای نقش کرده است.,رضا عطاران کلید ازدواج,0,art_music
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بازیگر جایزه امی,با توجه به ظاهر و زمینه فعالیت، به نظر می‌رسد این فرد یک بازیگر باشد و احتمالاً جایزه امی را دریافت کرده است.,بازیگر جایزه امی,1,art_music
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,ادبیات نامزد جایزه نوبل ادبیات,با توجه به تصویر و زمینه فعالیت فرد، به نظر می‌رسد که او در حوزه ادبیات فعالیت دارد.,ادبیات نامزد جایزه نوبل ادبیات,1,poets
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست یکی از بازیگران معروف ایرانی است و در فیلم 'شبی که ماه کامل شد' ایفای نقش کرده است.,الناز شاکردوست شبی که ماه کامل شد,1,art_music
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار آتش بس,با توجه به اطلاعات عمومی، مهناز افشار در فیلم آتش بس ایفای نقش کرده است.,الهام حمیدی دو دوست,0,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی خواننده,با توجه به تصویر و زمینه فعالیت، به نظر می‌رسد این فرد یک خواننده است.,مازیار فلاحی خواننده,1,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,اکبر هاشمی رفسنجانی سیاسی,اکبر هاشمی رفسنجانی یکی از شخصیت‌های سیاسی برجسته ایران بود و در زمینه سیاست فعالیت داشت.,اکبر هاشمی رفسنجانی سیاسی,1,politicians
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,این گزینه به فعالیت‌های هنری فرد اشاره دارد که در چندین اثر شناخته شده حضور داشته است.,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,0,art_music
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,این گزینه به فعالیت‌های هنری فرد اشاره دارد که در چندین اثر شناخته شده حضور داشته است.,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,0,art_music
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,مصطفی چمران یکی از شخصیت‌های مهم سیاسی و نظامی ایران در دوران انقلاب اسلامی بود و به عنوان نماینده مجلس شورای اسلامی شناخته می‌شود.,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,1,politicians
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,این گزینه به فعالیت‌های هنری فرد اشاره دارد که شامل سریال‌ها و فیلم‌های معروف است.,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,0,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار بازیگر,میترا حجار به عنوان یک بازیگر شناخته شده است و در سینما و تلویزیون ایران فعالیت دارد.,میترا حجار بازیگر,1,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرخزاد شاعر,فریدون فرخزاد به عنوان یک شاعر و هنرمند شناخته شده است و تصویر به نظر می‌رسد مربوط به او باشد.,فریدون فرخزاد شاعر,1,poets
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست یکی از بازیگران معروف ایرانی است و در فیلم 'شبی که ماه کامل شد' ایفای نقش کرده است.,مهناز افشار آتش بس,0,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان بازیگر,بهرام رادان یکی از بازیگران معروف ایرانی است.,بهرام رادان بازیگر,1,art_music
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زخم کاری,این فیلم یکی از آثار شناخته شده در سینمای ایران است و به نظر می‌رسد فرد در تصویر در آن ایفای نقش کرده باشد.,درباره الی,0,art_music
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,هیچکدام,بدون اطلاعات مشخص درباره فرد و محل ترور، نمی‌توان گزینه‌ای را انتخاب کرد.,در خانه اش,0,politicians
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,(1376 - 1384),این دوره مربوط به ریاست جمهوری محمد خاتمی است.,(1376 - 1384),1,politicians
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3, دومین رئیس‌جمهور ایران (11 اوت - 8 سپتامبر 1980). چهل و دومین نخست‌وزیر ایران (تا اوت 1980).,این گزینه به نظر می‌رسد با تاریخچه سیاسی ایران مرتبط باشد., دومین رئیس‌جمهور ایران (11 اوت - 8 سپتامبر 1980). چهل و دومین نخست‌وزیر ایران (تا اوت 1980).,1,politicians
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است,این گزینه به عنوان یکی از جوایز معتبر این بازیگر شناخته می‌شود.,برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,0,art_music
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,این گزینه به عنوان یک جایزه معتبر در جشنواره فیلم فجر شناخته می‌شود و به نظر می‌رسد که با توجه به شهرت بازیگران ایرانی، این گزینه محتمل‌تر است.,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,1,art_music
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,در سریال‌هایی مانند «عاشقانه» و «مانکن» بازی کرد,این گزینه به عنوان یکی از آثار شناخته شده این خواننده مطرح است.,در سریال‌هایی مانند «عاشقانه» و «مانکن» بازی کرد,1,art_music
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در فیلم‌هایی مانند «اخراجی‌ها» در سال 1385، «مارمولک» در سال 1382، نقش آفرینی کرده است,این گزینه شامل فیلم‌های معروفی است که به احتمال زیاد با بازیگران شناخته شده مرتبط هستند.,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,0,art_music
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,آلبوم‌هایی چون «بلوز دم می‌کشه» (1384)، «ماه و سنگ» (1390),این آلبوم‌ها به یک هنرمند معروف ایرانی نسبت داده می‌شوند.,آلبوم‌هایی چون «نسیم وصل» (1382)، «ایران من» (1398),0,art_music
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در 23 اسفند 1395 خورشیدی در تهران درگذشت,این شاعر معروف در تاریخ ذکر شده در گزینه دوم درگذشته است.,در 5 فروردین 1401 درگذشت,0,poets
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,با توجه به اطلاعات عمومی، قیصر امین‌پور یکی از شاعران معاصر شناخته شده است.,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,1,poets
این فرد چه آثاری خلق کرده است؟,https://tse4.mm.bing.net/th/id/OIP.jmSfNbyoI_UJgSgWdg7PJgHaFH?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد,این آثار به عنوان نمونه‌هایی از کارهای ادبی و هنری شناخته می‌شوند.,او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد,1,art_music
این شاعر چه آثاری دارد؟,https://th.bing.com/th/id/R.20d72fd44870ac1fa9c0b30e9337abf6?rik=7wp1%2f9JnY7%2bcQg&riu=http%3a%2f%2fbiographyha.com%2fwp-content%2fuploads%2f2014%2f04%2fManouchehr-ehterami-biographya-com-4.jpg&ehk=sFukI3v6%2ba8aXT5iHJ8Zop5sWh9RVByeXVX3xrRkBZg%3d&risl=&pid=ImgRaw&r=0, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,این گزینه به آثار معروفی اشاره دارد که به ادبیات کودک مربوط می‌شود و با سبک خاصی از شعر کودکانه مرتبط است., او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,1,poets
