question,predicted_option,rationale,gold_answer,is_correct,category
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,علی مرادی یکی از وزنه‌برداران معروف ایران است.,وزنه‌برداری,1,athlete
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,رضا علی‌پور یکی از ورزشکاران برجسته در رشته سنگ‌نوردی است.,سنگ‌نوردی,1,athlete
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,هیچکدام,وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ مدالی کسب نکرده است.,نقره,0,athlete
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,کشتی,وحید سرلک به عنوان یک کشتی‌گیر شناخته می‌شود.,رزمی,0,athlete
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,یوسف وکیا به عنوان بازیکن در تیم‌های فولاد و نفت مسجدسلیمان فعالیت کرده است.,فولاد و نفت مسجدسلیمان,1,athlete
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,هاروتیون آبراهامیان یک شخصیت ارمنی است.,ارمنستان,1,athlete
جمشید نصیری در کدام شهر ایران متولد شده است؟,تهران,جمشید نصیری در تهران متولد شده است.,خرمشهر,0,athlete
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,کشتی,رضا افتخاری به عنوان یک کشتی‌گیر شناخته می‌شود.,فوتبال,0,athlete
پوریا امینی در چه استانی متولد شده است؟,رشت,پوریا امینی در رشت، استان گیلان متولد شده است.,گیلانغرب,0,athlete
حسن حبیبی در کدام شهر متولد شده است؟,شیراز,حسن حبیبی یکی از شخصیت‌های معروف ایرانی است که در شیراز متولد شده است.,کرمان,0,athlete
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,زینب گیوه به عنوان یک بازیکن والیبال ایرانی در پست دریافت‌کننده قدرتی فعالیت می‌کند.,دریافت‌کننده قدرتی,1,athlete
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,حسین مهربان به عنوان بازیکن در تیم‌های پدیده و فجر سپاسی فعالیت کرده است.,پدیده و فجر سپاسی,1,athlete
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,هیچکدام,علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ مدالی کسب نکرده است.,نقره,0,athlete
الهام حسینی در چه رشته‌ای فعالیت دارد؟,فوتبال,الهام حسینی یک بازیکن فوتبال ایرانی است.,وزنه‌برداری,0,athlete
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,رضا مؤمنی در قائمشهر متولد شده است.,قائمشهر,1,athlete
رضا نوروزی در چه شهری متولد شده است؟,ایذه,رضا نوروزی در ایذه متولد شده است.,ایذه,1,athlete
مجید ترکان ورزشکار کدام رشته است؟,کشتی,مجید ترکان یک کشتی‌گیر معروف ایرانی است.,کشتی,1,athlete
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,ایوان مارکوویچ فعالیت خود را در فوتبال حرفه‌ای با تیم ستاره سرخ بلگراد آغاز کرده است.,ستاره سرخ بلگراد,1,athlete
گلنوش خسروی در کدام شهر به متولد شده است؟,تهران,گلنوش خسروی در تهران متولد شده است.,اصفهان,0,athlete
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,تکواندو,فرنوش شیخی یک ورزشکار ایرانی در رشته تکواندو است.,والیبال,0,athlete
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,سارا شیربیگی یکی از ورزشکاران معروف در رشته فوتسال است.,فوتسال,1,athlete
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,بازی‌های آسیایی ۲۰۱۸,هاجر صفرزاده در بازی‌های آسیایی ۲۰۱۸ موفق به کسب مدال شده است.,پارالمپیک پاریس ۲۰۲۴,0,athlete
مهدی تیکدری سالاری در کدام رشته فعال است؟,کشتی,مهدی تیکدری سالاری به عنوان یک کشتی‌گیر شناخته شده است.,فوتبال,0,athlete
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,شجاع خلیل‌زاده در تیم‌های پرسپولیس و الریان بازی کرده است.,پرسپولیس و الریان,1,athlete
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,کشتی,مهدی خدابخشی یک کشتی‌گیر ایرانی است.,رزمی,0,athlete
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,علی دایی در لیگ آلمان با تیم‌های بایرن مونیخ و هرتابرلین بازی کرده است.,بایرن مونیخ و هرتابرلین,1,athlete
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کاراته,عباس زندی یکی از ورزشکاران موفق در رشته کاراته است و مدال‌های متعددی در این رشته کسب کرده است.,کشتی,0,athlete
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۵۱,عزت‌الله اکبری در سال ۱۳۵۱ متولد شده است.,۱۳۷۱,0,athlete
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,قد میربابک موسوی ۱٫۹۴ متر است.,۱٫۹۴,1,athlete
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,کریم انصاری‌فرد در ایران متولد شده است.,ایران,1,athlete
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,مریلا زارعی,مریلا زارعی یکی از بازیگران اصلی فیلم من و دبورا است.,مریلا زارعی,1,art_music
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,کامشاد کوشان,کامشاد کوشان برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است.,رضا عطاران,0,art_music
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,بهرام رادان,بهرام رادان برای بازی در فیلم سنتوری در جشنواره فجر جایزه بهترین بازیگر مرد را دریافت کرده است.,بهرام رادان,1,art_music
محسن تنابنده در چه سالی متولد شده است؟,1354,محسن تنابنده در سال 1354 متولد شده است.,1354,1,art_music
کدام یک از آثار احمدشاملو است؟,ترانه شرقی,ترانه شرقی یکی از آثار معروف احمد شاملو است.,ترانه شرقی,1,poets
روزبه بمانی در چه حیطه ای فعالیت میکند؟,خوانندگی,روزبه بمانی یک خواننده و ترانه‌سرا است.,خوانندگی,1,art_music
سهراب سپهری در کجا متولد شده است؟,,سهراب سپهری در شهر اصفهان متولد شده است.,قم,0,poets
کدام شاعر معروف به نیمای غزل است؟,سیمین بهبهانی,سیمین بهبهانی به عنوان نیمای غزل شناخته می‌شود به دلیل نوآوری‌هایش در شعر غزل.,سیمین بهبهانی,1,poets
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,نجف,شاعر معروف به تاج الشعرا، یعنی سید حسین نصر، در ابتدا در نجف دفن شد.,مسجد جامع سامان,0,poets
کدام یک از آثار فروغ فرخزاد است؟,تولدی دیگر,تولدی دیگر یکی از آثار معروف فروغ فرخزاد است.,تولدی دیگر,1,poets
اولین زن ایرانی در فضا چه کسی است؟,انوشه انصاری,انوشه انصاری اولین زن ایرانی است که به فضا سفر کرده است.,انوشه انصاری,1,scientists
مفتاح الفتاح از چه کسی منتشر شده است؟,شیخ بهایی,مفتاح الفتاح اثر شیخ بهایی است که در زمینه‌های مختلف علمی و فلسفی نوشته شده است.,شیخ بهایی,1,scientists
پدر فیزیک ایران چه کسی است؟,محمود حسابی,محمود حسابی به عنوان یکی از بنیان‌گذاران فیزیک مدرن در ایران شناخته می‌شود و به همین دلیل به او لقب 'پدر فیزیک ایران' داده شده است.,محمود حسابی,1,scientists
اولین زن برنده ی مدال فیلدر چه کسی است؟,مریم میرزاخانی,مریم میرزاخانی اولین زن برنده مدال فیلدز در سال 2014 است.,مریم میرزاخانی,1,scientists
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,1350,جمشید هاشمپور فعالیت هنری خود را از دهه 1350 آغاز کرده است.,1360,0,art_music
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,سحر دولتشاهی,سحر دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد.,سحر دولتشاهی,1,art_music
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,باران کوثری,باران کوثری به عنوان بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای فیلم «سعادت‌آباد» شناخته شده است.,مهناز افشار,0,art_music
دایره المعارف شیطان اثر کیست؟,ابراهیم نبوی,دایره المعارف شیطان اثر ابراهیم نبوی است.,ابراهیم نبوی,1,poets
ایرج میرزرا به چه نامی معروف بود؟,جلال الممالک,ایرج میرزرا به عنوان جلال الممالک شناخته می‌شود.,جلال الممالک,1,poets
کدام شاعر به پدر شعر انقلاب معروف است؟,حمید سبزواری,حمید سبزواری به عنوان پدر شعر انقلاب اسلامی ایران شناخته می‌شود.,حمید سبزواری,1,poets
پدر ادبیات تاجیک کیست؟,رودکی,رودکی به عنوان پدر ادبیات تاجیک شناخته می‌شود و او یکی از نخستین شاعران بزرگ زبان فارسی است.,رودکی,1,poets
کارگردان مغزهای کوچک زنگ زده کیست؟,هومن سیدی,هومن سیدی کارگردان فیلم مغزهای کوچک زنگ زده است.,هومن سیدی,1,art_music
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,پرویز پرستویی,پرویز پرستویی برای بازی در فیلم «ناخدا خورشید» موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد شد.,داریوش ارجمند,0,art_music
مهران مدیری متولد چه سالی است؟,1354,مهران مدیری در سال 1354 متولد شده است.,1346,0,art_music
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,درباه الی و زخم کاری,رعنا آزادیور در این دو فیلم به ایفای نقش پرداخته است.,درباه الی و زخم کاری,1,art_music
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,شهره آغداشلو,شهره آغداشلو برای نقش خود در سریال «خانه صدام» برنده جایزه امی شده است.,شهره آغداشلو,1,art_music
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,لیلا حاتمی,لیلا حاتمی برای بازی در فیلم «رگ خواب» موفق به دریافت سیمرغ بلورین بهترین بازیگر زن از جشنواره فیلم فجر شد.,لیلا حاتمی,1,art_music
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,فاطمه معتمدآریا,فاطمه معتمدآریا برای بازی در فیلم‌های «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است.,فاطمه معتمدآریا,1,art_music
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,بیست و ملاقات با جادوگر,علیرضا خمسه در فیلم بیست و ملاقات با جادوگر بازی کرده است.,بیست و ملاقات با جادوگر,1,art_music
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,1380,مهرداد صدیقیان فعالیت هنری خود را از اوایل دهه 1380 آغاز کرده است.,1380,1,art_music
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,پوست شیر,ژاله صامتی با بازی در فیلم پوست شیر مورد توجه مخاطبان قرار گرفت.,زیرخاکی,0,art_music
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,فاطمه معتمدآریا,فاطمه معتمدآریا برای بازی در این فیلم در جشنواره فیلم فجر مورد تقدیر قرار گرفت.,ترانه علیدوستی,0,art_music
امیرحسین حسین آرمان متولد کجا است؟,تهران,امیرحسین حسین آرمان متولد تهران است.,تهران,1,art_music
انوشیروان ارجمند در چه سالی درگذشت؟,1390,انوشیروان ارجمند در سال 1390 درگذشت.,1393,0,art_music
آرامگاه صائب تبریزی در کجا قرار دارد؟,تهران,آرامگاه صائب تبریزی در تهران واقع شده است.,اصفهان,0,poets
شعر شب عشق از کدام ترانه سرا است؟,فروغ فرخزاد,شعر شب عشق یکی از آثار معروف فروغ فرخزاد است.,لیلا کسری,0,poets
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,لیلی جهان آرا به عنوان مدیرعامل کانون پرورش فکری کودکان و نوجوانان شناخته می‌شود.,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,1,politicians
سید ابراهیم رئیسی در چه سالی درگذشت؟,1400,سید ابراهیم رئیسی در سال 1400 به عنوان رئیس‌جمهور ایران انتخاب شد و هنوز در قید حیات است.,1403,0,politicians
حسن روحانی در کجا متولد شده است؟,سمنان,حسن روحانی در شهر سمنان متولد شده است.,سمنان,1,politicians
گوهر خیراندیش در چه سریالی ضور داشته است؟,دودکش,گوهر خیراندیش در سریال دودکش نقش آفرینی کرده است.,میوه ممنوعه,0,art_music
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,1390,پژمان جمشیدی از سال 1390 به عنوان بازیگر فعالیت خود را آغاز کرده است.,1392,0,art_music
کدام آلبوم برای امید حاجیلی است؟,غوغا,آلبوم 'غوغا' یکی از آثار معروف امید حاجیلی است.,آلگرو,0,art_music
