question,gold_answer,category,model_answer,judge,is_correct
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,athlete,زینب گیوه در پست دریافت‌کننده فعالیت می‌کند.,خیر,0
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,athlete,حسین مهربان بازیکن تیم‌های سپاهان و پیکان بوده است.,خیر,0
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,نقره,athlete,علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ مدال طلا را کسب کرده است.,خیر,0
الهام حسینی در چه رشته‌ای فعالیت دارد؟,وزنه‌برداری,athlete,الهام حسینی در رشته پزشکی فعالیت دارد.,خیر,0
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,athlete,رضا مؤمنی در شهر تهران متولد شده است.,خیر,0
رضا نوروزی در چه شهری متولد شده است؟,ایذه,athlete,رضا نوروزی در شهر تهران متولد شده است.,خیر,0
مجید ترکان ورزشکار کدام رشته است؟,کشتی,athlete,مجید ترکان ورزشکار رشته دو و میدانی است.,خیر,0
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,athlete,ایوان مارکوویچ فعالیت خود را با تیم جوانان باشگاه ستاره سرخ بلگراد آغاز کرد.,خیر,0
گلنوش خسروی در کدام شهر به متولد شده است؟,اصفهان,athlete,گلنوش خسروی در شهر تهران متولد شده است.,خیر,0
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,والیبال,athlete,فرنوش شیخی در رشته ورزشی دوومیدانی فعالیت دارد.,خیر,0
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,athlete,سارا شیربیگی ورزشکار رشته تیراندازی است.,خیر,0
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,پارالمپیک پاریس ۲۰۲۴,athlete,هاجر صفرزاده در رقابت‌های پارالمپیک مدال گرفته است.,خیر,0
مهدی تیکدری سالاری در کدام رشته فعال است؟,فوتبال,athlete,مهدی تیکدری سالاری در رشته پزشکی فعال است.,خیر,0
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,athlete,شجاع خلیل‌زاده در تیم‌های پرسپولیس، نفت تهران و سپاهان بازی کرده است.,خیر,0
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,رزمی,athlete,مهدی خدابخشی در رشته پزشکی فعالیت دارد.,خیر,0
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,athlete,علی دایی در تیم‌های هرتابرلین و آرمینیا بیله‌فلد در آلمان بازی کرده است.,خیر,0
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کشتی,athlete,عباس زندی در رشته ورزشی کشتی مدال‌های متعددی کسب کرده است.,خیر,0
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۷۱,athlete,عزت‌الله اکبری در سال ۱۳۲۰ متولد شده است.,خیر,0
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,athlete,قد میربابک موسوی ۲ متر و ۱۱ سانتی‌متر است.,خیر,0
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,athlete,کریم انصاری‌فرد در ایران متولد شده است.,بله,1
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,مریلا زارعی,art_music,"بازیگر اصلی فیلم ""من و دبورا"" مهدی هاشمی است.",خیر,0
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,رضا عطاران,art_music,"رضا میرکریمی برای کارگردانی فیلم ""خوابم می‌آید"" سیمرغ بلورین دریافت کرده است.",خیر,0
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,بهرام رادان,art_music,شهاب حسینی برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است.,خیر,0
محسن تنابنده در چه سالی متولد شده است؟,1354,art_music,محسن تنابنده در سال ۱۳۵۴ متولد شده است.,خیر,0
روزبه بمانی در چه حیطه ای فعالیت میکند؟,خوانندگی,art_music,روزبه بمانی در حیطه موسیقی و شعر فعالیت می‌کند.,خیر,0
سهراب سپهری در کجا متولد شده است؟,قم,poets,سهراب سپهری در کاشان متولد شده است.,خیر,0
کدام شاعر معروف به نیمای غزل است؟,سیمین بهبهانی,poets,شاعر معروف به نیمای غزل، «سهراب سپهری» است.,خیر,0
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,مسجد جامع سامان,poets,شاعر معروف به تاج الشعرا، حافظ شیرازی، در ابتدا در شیراز دفن شد.,خیر,0
آثار فروغ فرخزاد کدام است؟,تولدی دیگر,poets,"آثار فروغ فرخزاد شامل مجموعه‌های شعر ""اسیر""، ""دیوار""، ""عصیان""، ""تولدی دیگر"" و ""شعری از من"" و همچنین چندین داستان و نمایشنامه است.",خیر,0
اولین زن ایرانی در فضا چه کسی است؟,انوشه انصاری,scientists,اولین زن ایرانی در فضا، انوشه انصاری است.,بله,1
مفتاح الفتاح از چه کسی منتشر شده است؟,شیخ بهایی,scientists,مفتاح الفتاح اثر علامه محمدباقر مجلسی است.,خیر,0
پدر فیزیک ایران چه کسی است؟,محمود حسابی,scientists,پدر فیزیک ایران، پروفسور محمود حسابی است.,بله,1
اولین زن برنده ی مدال فیلدر چه کسی است؟,مریم میرزاخانی,scientists,اولین زن برنده مدال فیلدر، ماری کوری است.,خیر,0
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,1360,art_music,جمشید هاشم‌پور در دهه ۱۳۵۰ فعالیت خود را آغاز کرده است.,خیر,0
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,سحر دولتشاهی,art_music,الهام کردا برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر 1396 شد.,خیر,0
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,مهناز افشار,art_music,نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» لیلا حاتمی بود.,خیر,0
دایره المعارف شیطان اثر کیست؟,ابراهیم نبوی,poets,"دایره المعارف شیطان اثر ""آلن دانیلو"" است.",خیر,0
ایرج میرزرا به چه نامی معروف بود؟,جلال الممالک,poets,"ایرج میرزای معروف به ""ایرج"" بود.",خیر,0
کدام شاعر به پدر شعر انقلاب معروف است؟,حمید سبزواری,poets,سهراب سپهری.,خیر,0
پدر ادبیات تاجیک کیست؟,رودکی,poets,پدر ادبیات تاجیک، رودکی است.,بله,1
کارگردان مغزهای کوچک زنگ زده کیست؟,هومن سیدی,art_music,"کارگردان ""مغزهای کوچک زنگ زده"" هومن سیدی است.",بله,1
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,داریوش ارجمند,art_music,بازیگر «ناخدا خورشید» که سیمرغ بلورین بهترین بازیگر نقش اول مرد را دریافت کرد، «ناصر ملک‌مطیعی» است.,خیر,0
مهران مدیری متولد چه سالی است؟,1346,art_music,مهران مدیری متولد سال 1346 است.,خیر,0
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,درباه الی و زخم کاری,art_music,رعنا آزادیور در فیلم‌های «زیر سقف دودی»، «شعله‌ور»، «مغزهای کوچک زنگ زده» و «مردن در آب مطهر» بازی کرده است.,خیر,0
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,شهره آغداشلو,art_music,بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) جولیان موور است.,خیر,0
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,لیلا حاتمی,art_music,لیلا حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را دریافت کرده است.,خیر,0
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,فاطمه معتمدآریا,art_music,لیلا حاتمی.,خیر,0
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,بیست و ملاقات با جادوگر,art_music,"علیرضا خمسه در فیلم‌های مختلفی بازی کرده است، از جمله ""مادر""، ""آدم برفی""، ""شیرین""، و ""نهنگ عنبر"".",خیر,0
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,1380,art_music,مهرداد صدیقیان از دهه ۱۳۹۰ فعالیت خود را آغاز کرده است.,خیر,0
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,زیرخاکی,art_music,ژاله صامتی برای بازی در فیلم «آشغال‌های دوست‌داشتنی» مورد توجه مخاطبان قرار گرفت.,خیر,0
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,ترانه علیدوستی,art_music,لیلا حاتمی برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را دریافت کرد.,خیر,0
امیرحسین حسین آرمان متولد کجا است؟,تهران,art_music,امیرحسین حسین آرمان متولد تهران است.,خیر,0
انوشیروان ارجمند در چه سالی درگذشت؟,1393,art_music,انوشیروان ارجمند در سال 579 میلادی درگذشت.,خیر,0
آرامگاه صائب تبریزی در کجا قرار دارد؟,اصفهان,poets,آرامگاه صائب تبریزی در شهر اصفهان، ایران واقع شده است.,بله,1
شعر شب عشق از کدام ترانه سرا است؟,لیلا کسری,poets,"شعر ""شب عشق"" از سهراب سپهری است.",خیر,0
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,politicians,لیلی جهان آرا در زمینه هنر و طراحی فعالیت داشته است.,خیر,0
سید ابراهیم رئیسی در چه سالی درگذشت؟,1403,politicians,سید ابراهیم رئیسی درگذشته است.,خیر,0
حسن روحانی در کجا متولد شده است؟,سمنان,politicians,حسن روحانی در شهرستان سرخه، استان سمنان متولد شده است.,خیر,0
گوهر خیراندیش در چه سریالی ضور داشته است؟,میوه ممنوعه,art_music,"گوهر خیراندیش در سریال‌های مختلفی از جمله ""شهرزاد"" و ""پایتخت"" حضور داشته است.",خیر,0
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,1392,art_music,پژمان جمشیدی از سال ۱۳۹۱ به عنوان بازیگر فعالیت می‌کند.,خیر,0
آلبوم های امید حاجیلی کدام است؟,آلگرو,art_music,"آلبوم‌های امید حاجیلی شامل ""آلبوم ۱""، ""آلبوم ۲""، ""آلبوم ۳""، ""آلبوم ۴"" و ""آلبوم ۵"" می‌باشد.",خیر,0
بنیان‌گذار شهرستان ملکشاهی چه کسی است؟,فرامرز اسدی,politicians,بنیان‌گذار شهرستان ملکشاهی، مرحوم آیت‌الله سید محمدباقر ملکشاهی است.,خیر,0
از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران و موسس مدرسه علوم سیاسی کیست؟,حسن پیزنیا,politicians,"موسس مدرسه علوم سیاسی و از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران، ""میرزا حسن خان مشیرالدوله"" است.",خیر,0
معاون شهرسازی و معماری شهرداری تهران (خرداد-آبان 1397) که بود؟,پیروز حناچی,politicians,"معاون شهرسازی و معماری شهرداری تهران در این بازه زمانی، ""حامد مظاهریان"" بود.",خیر,0
چهارمین مرد قدرتمند در ایران (2009 - مجله نیوزویک) کیست؟,سید محمد خاتمی,politicians,چهارمین مرد قدرتمند در ایران در سال 2009، علی خامنه‌ای، رهبر جمهوری اسلامی ایران بود.,خیر,0
چه کسی با تشکیل گروه کودتا با همکاری صدام حسین متهم به خیانت و اعدام غیابی شد؟,تیمور بختیار,politicians,"علی حسن المجید، معروف به ""علی شیمیایی""، متهم به خیانت و اعدام غیابی شد.",خیر,0
حاجعلی رزمآرا توسط چه کسی ترور شد؟,ترور توسط خلیل طهماسبی (فدائیان اسلام),politicians,حاجعلی رزم‌آرا توسط «حسین فاطمی» ترور شد.,خیر,0
حسنعلی منصور توسط چه کسی ترور شد؟,محمد بخارایی,politicians,حسنعلی منصور توسط گروهی از اعضای سازمان مجاهدین خلق (منافقین) ترور شد.,خیر,0
بدرالدین هلالی استرآباد توسط چه کسی به قتل رسید؟,هلالی در سال 936 هجری قمری به اتهام تشیع توسط امیر عبیدالله خان ازبک و سیف‌الله نامی به قتل رسید,poets,بدرالدین هلالی استرآباد توسط یکی از پیروانش به نام «علی بن محمد» به قتل رسید.,خیر,0
آدمک و بهار بهار آثار کیست؟,تورج شعبانخانی,poets,آدمک و بهار بهار آثار سهراب سپهری است.,خیر,0
چه کسی در سال 1390 برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی شد؟,اردشیر قوامزاده,scientists,در سال 1390، پروفسور مجید سمیعی به عنوان برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی شناخته شد.,خیر,0
چه کسی با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را در برابر حکیمان هند اثبات کرد؟,بزرگمهر,scientists,ابن سینا با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را اثبات کرد.,خیر,0
چه کسی  تقویم جلالی را طراحی کرد و سلطان سنجر را از آبله درمان نمود؟,عمر خیام,scientists,تقویم جلالی توسط عمر خیام طراحی شد و او همچنین سلطان سنجر را از آبله درمان نمود.,خیر,0
چه کسی دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد؟,مهدی گلشنی در سال 1376 دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد,scientists,دانشکده فلسفه علم دانشگاه صنعتی شریف توسط دکتر مهدی گلشنی تاسیس شد.,بله,1
چه کسی به ابن‌سینا دانش پزشکی آموخت؟,ابومنصور حسن بن نوح کمرهای بخاری در بغداد به ابن‌سینا دانش پزشکی آموخت,scientists,ابن‌سینا دانش پزشکی را از معلمانی چون ابوعلی حسین بن عبدالله بن سینا و همچنین از آثار پزشکان پیشین مانند جالینوس و بقراط آموخت.,خیر,0
چه کسی برای بازی در «نفس» جایزه بهترین بازیگر زن را از جشنواره‌های بین‌المللی دریافت کرد؟,پانتهآ پناهیها,art_music,نرگس آبیار برای بازی در «نفس» جایزه بهترین بازیگر زن را دریافت کرد.,خیر,0
کدام بازیگر در خیزش 1401 ایران با برداشتن حجاب از زنان ایرانی حمایت کرد؟,مریم پالیزبان,art_music,هانیه توسلی.,خیر,0
چه کسی فیلمنامه ی شب های برره را نوشته است؟,بهاره رهنما,art_music,فیلمنامه شب‌های برره را مهران مدیری نوشته است.,خیر,0
چه کسی برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز» شد؟,نوید محمدزاده,art_music,پیمان معادی برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز» شد.,خیر,0
چه کسانی فرهاد اصلانی را متهم به آزار جنسی کرده اند؟,سمیه میرشمسی و آوازه شهناز او را متهم به آزار جنسی کردند,art_music,فرهاد اصلانی توسط چندین زن به آزار جنسی متهم شده است، اما نام خاصی از آن‌ها در دسترس نیست.,خیر,0
باران کوثری چه جوایزی گرفته است؟,او جوایزی از جمله بهترین بازیگر زن جشنواره تئاتر فجر (1379) دریافت کرده است,art_music,باران کوثری جوایزی از جمله سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر و جوایز دیگری در جشنواره‌های داخلی و خارجی دریافت کرده است.,خیر,0
یکی از برجسته‌ترین بازیگران سینمای ایران در دهه‌های 1340 و 1350  چه کسی است؟,بهروز وثوقی,art_music,"بازیگر برجسته سینمای ایران در دهه‌های 1340 و 1350، ""بهرام بیضایی"" است.",خیر,0
