question,gold_answer,model_answer,judge,is_correct,category
ایرج میرزرا به چه نامی معروف بود؟,جلال الممالک,"ایرج میرزا به ""فخرالشعرا"" معروف بود.",خیر,False,poets
کدام شاعر به پدر شعر انقلاب معروف است؟,حمید سبزواری,حمید سبزواری.,بله,True,poets
پدر ادبیات تاجیک کیست؟,رودکی,پدر ادبیات تاجیک رودکی است.,بله,True,poets
کارگردان مغزهای کوچک زنگ زده کیست؟,هومن سیدی,هومن سیدی.,بله,True,art_music
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,داریوش ارجمند,داریوش ارجمند.,بله,True,art_music
مهران مدیری متولد چه سالی است؟,1346,مهران مدیری متولد سال ۱۳۴۶ است.,بله,True,art_music
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,درباه الی و زخم کاری,رعنا آزادیور در فیلم‌هایی مانند «درباره الی»، «خانه دختر»، «به‌دنیا آمدن»، «مرد بازنده»، «سعادت‌آباد»، «شنای پروانه» و «بی‌همه‌چیز» بازی کرده است.,خیر,False,art_music
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,شهره آغداشلو,ایراندا ورای (Igal Naor).,خیر,False,art_music
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,لیلا حاتمی,لیلا حاتمی.,بله,True,art_music
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,فاطمه معتمدآریا,فاطمه معتمدآریا.,بله,True,art_music
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,بیست و ملاقات با جادوگر,"علیرضا خمسه در فیلم‌های متعددی بازی کرده است، از جمله:  
- ""اجاره‌نشین‌ها""  
- ""بی‌پولی""  
- ""پایتخت"" (سریال)  
- ""آپارتمان شماره ۱۳""  
- ""مهمان مامان""  
- ""دو نفر و نصفی""  
- ""روز فرشته""  

برای فهرست کامل، نیاز به بررسی دقیق‌تر است.",خیر,False,art_music
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,1380,مهرداد صدیقیان از دهه ۱۳۸۰ فعالیت خود را آغاز کرده است.,خیر,False,art_music
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,زیرخاکی,ژاله صامتی برای بازی در فیلم «درخونگاه» مورد توجه مخاطبان قرار گرفت.,خیر,False,art_music
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,ترانه علیدوستی,ترانه علیدوستی.,بله,True,art_music
امیرحسین حسین آرمان متولد کجا است؟,تهران,امیرحسین آرمان متولد تهران است.,بله,True,art_music
انوشیروان ارجمند در چه سالی درگذشت؟,1393,انوشیروان ارجمند در سال ۱۳۹۳ درگذشت.,بله,True,art_music
آرامگاه صائب تبریزی در کجا قرار دارد؟,اصفهان,آرامگاه صائب تبریزی در اصفهان قرار دارد.,بله,True,poets
شعر شب عشق از کدام ترانه سرا است؟,لیلا کسری,"شعر ""شب عشق"" از **اردلان سرفراز** است.",خیر,False,poets
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,لیلی جهان‌آرا در زمینه هنر و بازیگری فعالیت داشته است.,خیر,False,politicians
سید ابراهیم رئیسی در چه سالی درگذشت؟,1403,سید ابراهیم رئیسی درگذشت نکرده است و تا تاریخ اطلاعات من (اکتبر ۲۰۲۳) زنده است.,خیر,False,politicians
حسن روحانی در کجا متولد شده است؟,سمنان,حسن روحانی در سرخه، استان سمنان متولد شده است.,بله,True,politicians
گوهر خیراندیش در چه سریالی ضور داشته است؟,میوه ممنوعه,گوهر خیراندیش در سریال‌های متعددی حضور داشته است، از جمله «میوه ممنوعه»، «اشک‌ها و لبخندها» و «دیوار به دیوار».,بله,True,art_music
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,1392,پژمان جمشیدی از سال ۱۳۹۲ با سریال «پژمان» به عنوان بازیگر فعالیت خود را آغاز کرد.,بله,True,art_music
آلبوم های امید حاجیلی کدام است؟,آلگرو,"آلبوم‌های امید حاجیلی:  
1. آلگرو  
2. دارکوب  
3. حاجیلیتو",خیر,False,art_music
بنیان‌گذار شهرستان ملکشاهی چه کسی است؟,فرامرز اسدی,بنیان‌گذار شهرستان ملکشاهی، ایل ملکشاهی است که نام این منطقه از آن گرفته شده است.,خیر,False,politicians
از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران و موسس مدرسه علوم سیاسی کیست؟,حسن پیزنیا,حسن پیرنیا (مشیرالدوله).,بله,True,politicians
معاون شهرسازی و معماری شهرداری تهران (خرداد-آبان 1397) که بود؟,پیروز حناچی,عبدالرضا گلپایگانی.,خیر,False,politicians
چهارمین مرد قدرتمند در ایران (2009 - مجله نیوزویک) کیست؟,سید محمد خاتمی,چهارمین مرد قدرتمند ایران در سال 2009 به گزارش مجله نیوزویک، صادق لاریجانی بوده است.,خیر,False,politicians
چه کسی با تشکیل گروه کودتا با همکاری صدام حسین متهم به خیانت و اعدام غیابی شد؟,تیمور بختیار,شاپور بختیار.,خیر,False,politicians
حاجعلی رزمآرا توسط چه کسی ترور شد؟,ترور توسط خلیل طهماسبی (فدائیان اسلام),حاجعلی رزم‌آرا توسط خلیل طهماسبی، عضو فدائیان اسلام، ترور شد.,بله,True,politicians
حسنعلی منصور توسط چه کسی ترور شد؟,محمد بخارایی,حسنعلی منصور توسط محمد بخارایی، عضو گروه فدائیان اسلام، ترور شد.,بله,True,politicians
بدرالدین هلالی استرآباد توسط چه کسی به قتل رسید؟,هلالی در سال 936 هجری قمری به اتهام تشیع توسط امیر عبیدالله خان ازبک و سیف‌الله نامی به قتل رسید,بدرالدین هلالی استرآبادی توسط قزلباشان به قتل رسید.,خیر,False,poets
آدمک و بهار بهار آثار کیست؟,تورج شعبانخانی,سهراب سپهری.,خیر,False,poets
چه کسی در سال 1390 برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی شد؟,اردشیر قوامزاده,اطلاعات دقیقی در این مورد در دسترس نیست. پیشنهاد می‌شود منابع معتبر علمی بررسی شوند.,خیر,False,scientists
چه کسی با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را در برابر حکیمان هند اثبات کرد؟,بزرگمهر,بزرگمهر.,بله,True,scientists
چه کسی  تقویم جلالی را طراحی کرد و سلطان سنجر را از آبله درمان نمود؟,عمر خیام,عمر خیام تقویم جلالی را طراحی کرد، اما درمان سلطان سنجر از آبله به او نسبت داده نشده و اطلاعات دقیقی در این مورد وجود ندارد.,خیر,False,scientists
چه کسی دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد؟,مهدی گلشنی در سال 1376 دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد,دانشکده فلسفه علم دانشگاه صنعتی شریف توسط دکتر مهدی گلشنی تأسیس شد.,بله,True,scientists
چه کسی به ابن‌سینا دانش پزشکی آموخت؟,ابومنصور حسن بن نوح کمرهای بخاری در بغداد به ابن‌سینا دانش پزشکی آموخت,ابن‌سینا دانش پزشکی را عمدتاً با مطالعه آثار پزشکان پیشین، به‌ویژه بقراط و جالینوس، و از طریق تجربه و مشاهده شخصی آموخت. استاد مشخصی در پزشکی برای او ذکر نشده است.,خیر,False,scientists
چه کسی برای بازی در «نفس» جایزه بهترین بازیگر زن را از جشنواره‌های بین‌المللی دریافت کرد؟,پانتهآ پناهیها,ساره نورموسوی.,خیر,False,art_music
کدام بازیگر در خیزش 1401 ایران با برداشتن حجاب از زنان ایرانی حمایت کرد؟,مریم پالیزبان,کتایون ریاحی.,خیر,False,art_music
چه کسی فیلمنامه ی شب های برره را نوشته است؟,بهاره رهنما,فیلمنامه‌ی «شب‌های برره» توسط پیمان قاسم‌خانی نوشته شده است.,خیر,False,art_music
چه کسی برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز» شد؟,نوید محمدزاده,نوید محمدزاده.,بله,True,art_music
چه کسانی فرهاد اصلانی را متهم به آزار جنسی کرده اند؟,سمیه میرشمسی و آوازه شهناز او را متهم به آزار جنسی کردند,فرهاد اصلانی توسط چند بازیگر زن، از جمله شبنم قربانی و فرانک حسینی، به آزار جنسی متهم شده است.,خیر,False,art_music
باران کوثری چه جوایزی گرفته است؟,او جوایزی از جمله بهترین بازیگر زن جشنواره تئاتر فجر (1379) دریافت کرده است,باران کوثری جوایز متعددی از جمله سیمرغ بلورین جشنواره فیلم فجر برای بازی در فیلم‌های «خون‌بازی» و «کوچه بی‌نام» دریافت کرده است. همچنین جوایز دیگری از جشنواره‌های داخلی و خارجی کسب کرده است.,خیر,False,art_music
یکی از برجسته‌ترین بازیگران سینمای ایران در دهه‌های 1340 و 1350  چه کسی است؟,بهروز وثوقی,بهروز وثوقی.,بله,True,art_music
