question,gold_answer,predicted_option,is_correct,category
اولین زن ایرانی در فضا چه کسی است؟,انوشه انصاری,انوشه انصاری,True,scientists
مفتاح الفتاح از چه کسی منتشر شده است؟,شیخ بهایی,شیخ بهایی,True,scientists
پدر فیزیک ایران چه کسی است؟,محمود حسابی,محمود حسابی,True,scientists
اولین زن برنده ی مدال فیلدر چه کسی است؟,مریم میرزاخانی,مریم میرزاخانی,True,scientists
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,1360,1350,False,art_music
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,سحر دولتشاهی,سحر دولتشاهی,True,art_music
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,مهناز افشار,باران کوثری,False,art_music
دایره المعارف شیطان اثر کیست؟,ابراهیم نبوی,ابراهیم نبوی,True,poets
ایرج میرزرا به چه نامی معروف بود؟,جلال الممالک,جلال الممالک,True,poets
کدام شاعر به پدر شعر انقلاب معروف است؟,حمید سبزواری,حمید سبزواری,True,poets
پدر ادبیات تاجیک کیست؟,رودکی,رودکی,True,poets
کارگردان مغزهای کوچک زنگ زده کیست؟,هومن سیدی,هومن سیدی,True,art_music
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,داریوش ارجمند,پرویز پرستویی,False,art_music
مهران مدیری متولد چه سالی است؟,1346,1354,False,art_music
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,درباه الی و زخم کاری,درباه الی و زخم کاری,True,art_music
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,شهره آغداشلو,شهره آغداشلو,True,art_music
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,لیلا حاتمی,لیلا حاتمی,True,art_music
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,فاطمه معتمدآریا,فاطمه معتمدآریا,True,art_music
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,بیست و ملاقات با جادوگر,بیست و ملاقات با جادوگر,True,art_music
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,1380,1380,True,art_music
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,زیرخاکی,پوست شیر,False,art_music
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,ترانه علیدوستی,فاطمه معتمدآریا,False,art_music
امیرحسین حسین آرمان متولد کجا است؟,تهران,تهران,True,art_music
انوشیروان ارجمند در چه سالی درگذشت؟,1393,1390,False,art_music
آرامگاه صائب تبریزی در کجا قرار دارد؟,اصفهان,تهران,False,poets
شعر شب عشق از کدام ترانه سرا است؟,لیلا کسری,فروغ فرخزاد,False,poets
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,True,politicians
سید ابراهیم رئیسی در چه سالی درگذشت؟,1403,1400,False,politicians
حسن روحانی در کجا متولد شده است؟,سمنان,سمنان,True,politicians
گوهر خیراندیش در چه سریالی ضور داشته است؟,میوه ممنوعه,دودکش,False,art_music
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,1392,1390,False,art_music
کدام آلبوم برای امید حاجیلی است؟,آلگرو,غوغا,False,art_music
