question,image_url,correct_answer,answer_name,predicted_answer,is_correct,retrieval_success,category,retrieved_name_1,retrieved_score_1,retrieved_name_2,retrieved_score_2,retrieved_name_3,retrieved_score_3
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,تهران,الشن مرادی,اردبیل,False,False,athlete,پرویز راجی,0.5414891,محمدتقی پسیان,0.53545886,کمال‌الدین پیرمؤذن,0.53015256
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری کشتی,آریا داوری,امیرعلی آذرپیرا، کشتی,False,False,athlete,امیرعلی آذرپیرا,0.6255954,محسن تنابنده,0.61376494,پیام نادری دهکردی,0.6031711
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور 29 سال,علی علیپور,علی دایی، 56 سال,True,False,athlete,علی دایی,0.5791952,علی میری ,0.5415899,پیام نادری دهکردی,0.53955936
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی شفیعی,علی شفیعی,پوریا یلی,False,False,athlete,پوریا یلی,0.60133886,مجتبی حیدرپور,0.58121467,ایمان مبعلی,0.5771858
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح والیبال,الهام فلاح,</h1>,False,False,athlete,فاطمه امدادیان,0.6302878,شیلا خداداد,0.5499917,فاطمه معتمدآریا,0.5483904
این چهره ی چه کسی است و در کجا متولد شده است؟,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRx9KQnt6kW9EWatppcJLGVtqkHF98prQ4aK5-4BBUTTTSDloJX,سردار آزمون گنبد کاووس,سردار آزمون,سردار آزمون، گنبد کاووس,True,True,athlete,سردار آزمون,0.58641946,بشیر باباجان‌زاده,0.5711617,اشکان نامداری,0.5696359
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان فوتبال,رامین رضاییان,آرمین سهرابیان، فوتبال,False,False,athlete,آرمین سهرابیان,0.6330795,آرش داجلیری,0.6176921,پیام صادقیان,0.59678406
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,رحمان احمدی,کریم باقری,False,False,athlete,کریم باقری,0.65582407,امیر نوری,0.6229954,حسن رودباریان,0.61583495
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رعنا آزادیور زخم کاری,رعنا آزادیور,طناز طباطبایی، «هیس! دخترها فریاد نمی‌زنند»,False,False,art_music,طناز طباطبایی,0.73298556,امیر نوری,0.67306936,محبوبه هنریان,0.6654465
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا عطاران کلید ازدواج,رضا عطاران,"بهمن مفید، در فیلم ""آتش زیر خاکستر""",False,False,art_music,حسین فکری,0.5105388,وحید شمسایی,0.5058619,احسان روزبهانی,0.50423896
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://i.zamaneh.media/u/wp-content/uploads/2023/03/8sB1xib.jpeg?width=1600,نیما یوشیج شاعر,نیما یوشیج,نیما یوشیج، شاعر و نویسنده.,True,True,poets,نیما یوشیج,0.7615356,علی خورشیدی,0.7615356,محمدعلی سپانلو,0.6390641
این فرد در چه فیلمی ایفای نقش کرده است؟,https://th.bing.com/th/id/OIP.h7ntoG76ILPRHNDIL9eX4QHaHa?r=0&o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,لذت گناه,,به سوال پاسخ داده نشده است.,False,False,art_music,افسر شهیدی,0.6666259,نازی افشار,0.6133331,ویسنته آرزه,0.6086732
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بازیگر جایزه امی,شهره آغداشلو,لیلا برخورداری، بازیگر و گوینده است و جایزه بهترین بازیگر زن را از سی و ششمین جشنواره فیلم فجر دریافت کرده است.,True,False,art_music,شهین داوودی‌فر,0.61273944,لیلا برخورداری,0.5991477,سارا بهرامی,0.5973737
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,ادبیات نامزد جایزه نوبل ادبیات,سیمین بهبهانی,مرضیه وحید دستجردی در زمینه‌های مختلفی از جمله پزشک، سیاستمدار، استاد دانشگاه و وزیر بهداشت فعالیت داشته است. او در دوره معاصر فعالیت و زیست کرده است. او مشاور رئیس قوه,False,False,poets,مرضیه وحید دستجردی,0.65524036,مریم آزمون,0.64835274,مریم بهروزی,0.64325345
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست,ستاره پسیانی، «ورود آقایان ممنوع»,False,False,art_music,ستاره پسیانی,0.65108037,زهرا ساعی,0.64873743,سکینه الماسی,0.6453391
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الهام حمیدی دو دوست,الهام حمیدی,افسانه چهره‌آزاد، «بوتیک».,False,False,art_music,افسانه چهره‌آزاد,0.78404194,فرشته قربانی,0.7767564,سمیه رفیعی,0.7617649
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی خواننده,مازیار فلاحی,آرمین سهرابیان، ورزشکار فوتبال,False,True,art_music,ملودی نواب صفوی,0.58217865,مازیار فلاحی,0.5723773,آرمین سهرابیان,0.5344461
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,اکبر هاشمی رفسنجانی سیاسی,اکبر هاشمی رفسنجانی,اکبر هاشمی رفسنجانی که با نام‌های مستعار «اکبر هاشمی بهرمانی» نیز شناخته می‌شود، در تاریخ 1934 - 08 - 25 در شهر بخش نوق شهرستان رفس,True,True,politicians,اکبر هاشمی رفسنجانی,0.7217298,محمدجعفر منتظری,0.71493745,محمّدعلی گرامی,0.71030986
این فرد کیست و چه فعالیتی داشته است؟,https://static.wikia.nocookie.net/totalwar-ar/images/1/13/Mostafa_Chamran.jpg/revision/latest/smart/width/386/height/259?cb=20140713214752,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,مصطفی چمران,مصطفی چمران، سیاستمدار، فیزیکدان و نظامی.,True,True,politicians,مصطفی چمران,0.6906749,علی حجت کاشانی,0.6533973,محمدتقی بهار,0.64079565
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار بازیگر,میترا حجار,میترا حجار، بازیگر,True,True,art_music,میترا حجار,0.7613662,آذر منصوری,0.6678104,شهین داوودی‌فر,0.65533704
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,"https://cdn.rokna.net/thumbnail/72c525pG8oa3/yYGYIWiRH1jE7SFsFf8OS8GtVdPr30fs0wJj5HjN1IuvcJmljcN6H8bAsgVZzpzYCc2Paf9tWNy3TqJ7J2yYx6_iJ_9nS3dv9VaDD9pzMsmGiYQZhOmIlhgOn3kc4a2c2ldXQX3GVsuvtfuJ1_NwVg,,/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86+%D9%81%D8%B1%D8%AE%D8%B2%D8%A7%D8%AF.jpg",فریدون فرخزاد شاعر,فریدون فرخزاد,"ماهایا پطروسیان، بازیگر
    طناز طباطبایی، بازیگر
    نازنین فراهانی، بازیگر و نویسنده",False,False,poets,ماهایا پطروسیان,0.7969177,طناز طباطبایی,0.78327155,نازنین فراهانی,0.74390596
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://upload.wikimedia.org/wikipedia/commons/9/90/Leila_Hatami_in_2017_01.jpg,لیلا حاتمی رگ خواب,لیلا حاتمی,سارا بهرامی، دارکوب,False,False,art_music,سارا بهرامی,0.69027734,آناهیتا نعمتی,0.67529684,مهناز افشار,0.671568
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار آتش بس,مهناز افشار,مهناز افشار، «سعادت‌آباد».,True,True,art_music,نازنین فراهانی,0.6944972,مهناز افشار,0.66706777,میترا حجار,0.6658045
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان بازیگر,بهرام رادان,"امین دهقان، ورزشکار رزمی
    بهرام رادان، بازیگر
    ساسان انصاری، ورزشکار فوتبال",True,True,art_music,امین دهقان,0.7583268,بهرام رادان,0.74405193,ساسان انصاری,0.7331731
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,درباره الی,صابر ابر,ماریا,False,True,art_music,صابر ابر,0.74449575,حمید اشرف,0.6080152,محمد امیر,0.60265815
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,در خانه اش,,در تاریخ 1967 - 03 - 03، این فرد در تهران ترور شد.,False,False,politicians,میرزا اسماعیل خان ثقةالملک,0.7261017,میرزا احمد علاءالدوله,0.7179583,سید باقر خان مهذب‌الدوله,0.7005026
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,رئیس‌جمهور ایران (1376 - 1384),سید محمد خاتمی,"سید محمدصادق خرازی در دوره خاتمی فعالیت و زیست کرده است.
    سید محمود علایی طالقانی در هیچ دوره ای رئیس جمهور نبوده است.
    سید مصطفی میرسلیم در",False,False,politicians,سید محمدصادق خرازی,0.7345556,سید محمود علایی طالقانی,0.6751939,سید مصطفی میرسلیم,0.66337943
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3, دومین رئیس‌جمهور ایران (11 اوت - 8 سپتامبر 1980). چهل و دومین نخست‌وزیر ایران (تا اوت 1980).,محمدعلی رجایی,مصطفی رحماندوست,False,False,politicians,مصطفی رحماندوست,0.6692539,اشراق نجف‌آبادی,0.645647,مصطفی احمدی روشن,0.6441501
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3, کریمی برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,نیکی کریمی,سیمرغ بلورین بهترین بازیگر نقش اول زن برای فیلم «شیار 143» (1393),True,False,art_music,میترا حجار,0.7476907,صبا شایسته,0.7426022,مریلا زارعی,0.72716135
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,محمدرضا فروتن,جایزه بهترین کارگردان جوان جشنواره والادولید و شیر نقره‌ای جشنواره ونیز برای «رای مخفی» در سال 1380 و جایزه بهترین کارگردان جوان جشنواره والادولید و شیر نق,True,False,art_music,شیث رضایی,0.59764105,فرهاد کاظمی ,0.5678451,بابک پیامی,0.5555691
این فرد کیست و چه ترانه هایی برای شادمهر عقیلی منتشر کرده است؟,https://th.bing.com/th/id/R.c564840e83062527b5ceb8c8c7be6063?rik=1LSLRM3rA%2bMe0g&riu=http%3a%2f%2fphotokade.com%2fwp-content%2fuploads%2fNiloofarLaripour-photokade-2.jpg&ehk=%2b0K90szSBPq0%2fpJmFX9X5WWZ80p%2fGzFJ%2bsxljsIoOwI%3d&risl=&pid=ImgRaw&r=0,شاعر، ترانه‌سرا و روزنامه‌نگار ایرانی است. او ترانه‌هایی مانند «بهار لبخند» (1371)، «پر پرواز»، «شب برهنه»، «دل دیوونه (شادمهر عقیلی)»، «آغوش (شادمهر عقیلی)»، «تن تو (شادمهر عقیلی)»، «قبیله (شادمهر عقیلی)»، «قفس (شادمهر عقیلی)»، «عطر شبنم (شادمهر عقیلی)» و «تو بینهایت شب (شادمهر عقیلی)» منتشر کرده است,,"سهراب حدیدی، ترانه‌های ""آوازهای ایران""، ""سایه های شب""، ""دلبر"" و ""آوای قلبم"" را برای شادمهر عقیلی منتشر کرده است.",True,False,art_music,مریم طالبی,0.61978203,زهره برزگر,0.61581784,سارا عبدالملکی,0.60548174
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,در سریال‌هایی مانند «عاشقانه» و «مانکن» بازی کرد,فرزاد فرزین,«زیر پای مادر»,False,False,art_music,امیر جعفری,0.6617851,جواد اوجی,0.62747777,عاقل حبیبیان,0.6270771
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,مهرداد صدیقیان,به دلیل عدم وجود اطلاعات کافی در مورد این بازیگر، نمی‌توانم پاسخ دقیقی ارائه دهم.,False,False,art_music,صفر قهرمانیان,0.655465,محمد پنجعلی,0.56321776,نورالدین پیرمؤذن,0.5622169
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,او با آلبوم‌هایی چون «نسیم وصل» (1382)، «ایران من» (1398) و همکاری با پدرش محمدرضا شجریان فعالیت کرده است,همایون شجریان,"آلبوم‌های هادی عامل: آلبوم ""هادی عامل""
    آلبوم‌های محمدرضا بهزادیان: آلبوم ""محمدرضا بهزادیان""
    آلبوم‌های مجتبی ذوالن",False,False,art_music,هادی عامل,0.63069427,محمدرضا بهزادیان,0.62601554,مجتبی ذوالنوری,0.6149762
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,براهنی در 5 فروردین 1401 درگذشت,رضا براهنی,1981 - 06 - 28,False,False,poets,محمدحسن انصاری‌فرد,0.6642078,حسن عضدی پیچاهی,0.6313955,علی‌اصغر صدر حاج سیّد جوادی,0.5972931
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,قیصر امین‌پور,قیصر امین‌پور، در سال 1386 شمسی درگذشت.,True,True,poets,بهاره رهنما,0.57638645,شهربانو امانی انگنه,0.5504847,قیصر امین‌پور,0.53816056
آرامگاه این فرد در کجا قرار دارد؟,https://tse1.mm.bing.net/th/id/OIP.FOHfuDG4QTNnNTeeiYXF_gHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او در 2 اردیبهشت 1330 خورشیدی در تهران درگذشت و آرامگاهش در شمیران قرار دارد,محمدتقی بهار,شمیران,True,True,poets,محمدتقی بهار,0.7777837,محمّدتقی بهار,0.77723503,علی باباچاهی,0.6653631
این فرد چه آثاری خلق کرده است؟,https://tse4.mm.bing.net/th/id/OIP.jmSfNbyoI_UJgSgWdg7PJgHaFH?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد,آیدین آغداشلو,نمک سبز، سازمان پژوهش‌های نوین دفاعی، سازمان سپند,False,False,art_music,محسن مهرعلیزاده,0.73511195,محمدحسن انصاری‌فرد,0.7285317,محسن فخری‌زاده مهابادی,0.69186914
این شاعر چه آثاری دارد؟,https://th.bing.com/th/id/R.20d72fd44870ac1fa9c0b30e9337abf6?rik=7wp1%2f9JnY7%2bcQg&riu=http%3a%2f%2fbiographyha.com%2fwp-content%2fuploads%2f2014%2f04%2fManouchehr-ehterami-biographya-com-4.jpg&ehk=sFukI3v6%2ba8aXT5iHJ8Zop5sWh9RVByeXVX3xrRkBZg%3d&risl=&pid=ImgRaw&r=0, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,منوچهر احترامی,فردوسی,False,False,poets,حیدر مصلحی,0.6204884,جهانگیر عراقی,0.60837495,علیرضا منصوریان,0.6067592
